nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
pre_10_train_U00096.3/3428757-3427223,20,29,21,13,21,19,30,28,29,28,35,32,16,24,29,10,17,20,24,9,27,15,22,15,23,30,42,20,18,18,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,rRNA
pre_11_train_U00096.3/2731152-2729618,20,27,20,13,21,18,29,29,29,30,35,32,16,24,29,10,17,20,24,9,27,15,21,14,23,31,42,19,18,18,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,rRNA
pre_12_train_U00096.3/223776-225310,21,28,21,13,19,16,29,33,29,29,34,31,17,24,30,10,16,20,26,9,28,15,20,13,23,29,42,19,19,19,31,21,44,20,50,24,18,27,32,26,40,27,51,27,26,16,35,23,28,26,17,20,21,25,18,11,28,24,30,22,5,7,19,10,rRNA
pre_13_train_U00096.3/3428757-3427226,20,29,21,13,21,19,30,27,29,28,35,32,16,24,29,10,17,20,24,9,27,14,22,15,23,30,42,20,18,17,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,rRNA
pre_14_train_U00096.3/4166664-4168195,21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,27,32,26,41,27,51,27,26,16,34,23,28,26,19,20,21,24,18,12,27,24,29,21,5,7,19,9,rRNA
pre_15_train_U00096.3/4035536-4037067,21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,26,32,26,40,27,50,28,27,16,34,23,28,26,19,20,21,25,18,12,27,24,29,21,5,7,19,9,rRNA
pre_16_train_U00096.3/2731152-2729621,20,27,20,13,21,18,29,28,29,30,35,32,16,24,29,10,17,20,24,9,27,14,21,14,23,31,42,19,18,17,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,rRNA
pre_17_train_U00096.3/4210042-4212945,42,46,51,34,46,59,58,39,45,70,77,58,28,32,56,21,64,24,42,28,23,33,42,26,60,44,72,52,29,26,48,24,78,54,76,31,43,41,58,42,87,47,77,66,57,33,82,40,62,39,52,39,22,37,33,36,45,31,50,30,31,23,36,23,rRNA
pre_18_train_U00096.3/225758-228661,42,46,51,34,45,59,59,40,46,70,76,58,28,32,57,21,63,25,42,28,24,33,40,24,59,42,72,53,29,25,50,24,78,55,77,30,42,40,58,43,88,46,77,66,58,33,80,40,64,39,51,39,21,36,32,38,45,31,50,31,32,23,37,23,rRNA
pre_19_train_U00096.3/4037518-4040422,42,47,51,34,46,60,57,39,45,69,77,58,29,32,56,22,63,25,42,29,23,33,39,25,59,44,72,53,28,25,51,23,78,54,77,30,44,40,59,43,88,45,76,67,57,33,81,39,64,39,51,38,22,36,32,37,45,31,50,31,31,23,38,24,rRNA
pre_20_train_U00096.3/3943703-3946606,42,46,51,35,46,59,59,40,45,70,76,58,29,31,56,22,64,25,42,28,23,33,41,25,59,45,72,51,29,25,51,23,77,55,78,31,44,40,58,42,89,47,76,64,56,35,79,39,63,38,51,39,22,36,33,36,46,30,49,32,31,23,36,24,rRNA
pre_21_train_U00096.3/3426784-3423881,43,46,50,34,46,60,59,39,45,72,77,57,28,30,56,22,64,25,42,28,23,32,41,26,59,44,72,52,30,25,49,24,78,54,77,29,43,41,58,41,88,47,76,66,56,34,83,40,63,39,52,40,22,36,33,37,44,30,50,31,32,23,34,23,rRNA
pre_22_train_U00096.3/2729184-2726281,42,46,50,34,46,60,58,40,45,70,79,57,28,30,56,21,64,24,42,28,23,32,42,27,60,44,72,52,29,26,47,25,78,54,76,31,43,42,58,41,86,47,77,66,57,34,82,40,63,39,52,39,22,37,33,35,44,31,50,30,32,23,36,23,rRNA
pre_23_train_U00096.3/4210043-4212946,42,46,51,34,46,59,58,40,45,70,77,57,28,32,56,21,64,24,42,28,23,33,42,26,60,44,72,52,29,26,48,24,78,54,76,31,43,41,58,42,87,47,77,66,57,33,82,40,62,39,52,39,22,37,33,36,45,31,50,30,31,23,36,23,rRNA
pre_24_train_U00096.3/225759-228662,42,46,51,34,45,59,59,41,46,70,76,57,28,32,57,21,63,25,42,28,24,33,40,24,59,42,72,53,29,25,50,24,78,55,77,30,42,40,58,43,88,46,77,66,58,33,80,40,64,39,51,39,21,36,32,38,45,31,50,31,32,23,37,23,rRNA
pre_25_train_U00096.3/4037519-4040423,42,47,51,34,46,60,57,40,45,69,77,57,29,32,56,22,63,25,42,29,23,33,39,25,59,44,72,53,28,25,51,23,78,54,77,30,44,40,59,43,88,45,76,67,57,33,81,39,64,39,51,38,22,36,32,37,45,31,50,31,31,23,38,24,rRNA
pre_26_train_U00096.3/3426783-3423880,43,46,50,34,46,60,59,40,45,72,77,56,28,30,56,22,64,25,42,28,23,32,41,26,59,44,72,52,30,25,49,24,78,54,77,29,43,41,58,41,88,47,76,66,56,34,83,40,63,39,52,40,22,36,33,37,44,30,50,31,32,23,34,23,rRNA
pre_27_train_U00096.3/2729025-2726292,40,42,49,33,45,55,53,37,42,64,75,55,25,28,53,20,61,22,41,24,21,32,41,25,57,42,70,47,27,25,45,23,75,51,74,28,40,41,54,39,79,46,73,62,51,34,78,36,57,36,46,35,21,35,30,34,42,30,48,30,31,20,33,22,rRNA
pre_28_train_U00096.3/4210202-4212928,40,42,50,33,45,53,52,37,41,64,73,55,25,30,53,20,61,22,41,24,21,33,41,24,57,42,70,46,27,25,45,22,75,50,74,28,40,40,54,40,80,46,73,62,51,33,78,36,55,36,46,35,21,35,30,35,43,30,48,30,30,20,33,22,rRNA
pre_29_train_U00096.3/4037678-4040405,40,43,50,33,45,54,51,37,41,63,73,55,26,30,53,21,60,23,41,25,21,33,38,23,56,42,70,47,26,24,48,21,75,50,75,27,41,39,55,41,81,44,72,63,51,33,77,35,57,36,45,34,21,34,29,36,43,30,48,31,30,20,35,23,rRNA
pre_30_train_U00096.3/225918-228644,40,42,50,33,44,53,53,38,42,64,72,55,25,30,54,20,60,23,41,24,22,33,39,22,56,40,70,47,27,24,47,22,75,51,75,27,39,39,54,41,81,45,73,62,52,33,76,36,57,36,45,35,20,34,29,37,43,30,48,31,31,20,34,22,rRNA
pre_31_train_U00096.3/3426624-3423891,41,42,49,33,45,55,54,37,42,66,73,54,25,28,53,21,61,23,41,24,21,32,40,24,56,42,70,47,28,24,47,22,75,51,75,26,40,40,54,39,81,46,72,62,50,34,79,36,57,36,46,36,21,34,30,36,42,29,48,31,31,20,31,22,rRNA
nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
pre_0_train_U00096.3/2025313-2025227,0,1,0,2,3,2,1,0,1,1,1,2,0,0,1,4,1,1,1,0,2,2,1,1,2,0,3,0,1,4,2,0,2,0,0,2,0,1,1,0,1,1,0,2,0,1,1,5,2,1,4,1,1,2,0,4,0,1,1,1,2,2,0,4,sRNA
pre_1_train_U00096.3/2924515-2924156,6,8,8,2,9,2,8,2,27,8,10,4,4,2,5,4,5,2,6,2,4,4,1,4,2,3,19,4,0,6,0,3,11,8,14,13,11,3,3,1,11,6,5,6,1,4,18,4,8,3,10,3,6,1,2,4,3,2,4,4,1,3,4,5,sRNA
pre_2_train_U00096.3/4049889-4050007,0,1,2,2,0,1,1,2,2,0,1,3,2,3,2,4,0,0,1,1,1,2,2,0,4,1,1,2,2,1,0,4,3,1,1,2,1,2,3,2,0,1,2,3,3,1,2,2,1,3,5,2,3,0,0,2,0,3,4,1,3,2,1,8,sRNA
pre_3_train_U00096.3/4158394-4158285,1,1,2,0,0,4,3,5,1,1,1,2,2,2,1,2,3,2,2,0,1,2,2,3,2,3,1,1,0,1,2,4,1,2,2,3,3,1,0,0,2,1,2,1,0,2,0,2,5,3,0,0,1,1,3,1,3,1,0,0,1,4,1,3,sRNA
pre_4_train_U00096.3/3580987-3580923,0,0,1,2,1,2,0,0,1,1,0,0,2,0,2,1,0,1,2,0,2,0,1,0,0,1,3,1,1,1,0,3,1,1,0,1,2,0,1,1,0,1,0,1,0,1,2,2,0,2,1,0,1,1,0,4,0,4,0,0,0,0,0,5,sRNA
pre_5_train_U00096.3/1146589-1146757,3,1,5,4,5,4,2,1,2,5,1,3,4,0,4,3,3,2,0,4,2,0,1,2,2,3,2,1,2,2,0,4,5,2,2,3,4,0,0,2,1,2,0,2,3,0,4,4,4,1,2,5,2,2,3,1,2,4,2,2,2,3,5,14,sRNA
pre_6_train_U00096.3/2814802-2814873,0,1,2,2,2,1,0,0,3,1,0,0,0,2,1,4,0,1,1,0,2,0,2,2,2,0,0,0,0,2,1,3,2,0,0,2,1,2,1,1,1,1,1,1,1,0,1,0,2,1,1,3,1,1,0,0,0,2,1,1,0,1,2,2,sRNA
pre_7_train_U00096.3/2976189-2976102,0,0,1,1,1,2,0,1,0,2,0,2,1,1,2,0,1,1,1,0,2,1,1,4,2,1,1,2,1,1,3,0,0,3,1,2,0,0,0,1,2,2,2,0,2,1,2,4,0,0,1,2,1,1,5,0,1,1,2,2,0,2,0,8,sRNA
pre_8_train_U00096.3/2976385-2976304,0,1,2,2,2,1,0,1,1,1,0,4,1,1,1,2,0,1,2,0,4,1,0,0,2,2,2,0,0,1,2,0,0,1,3,2,1,0,0,1,1,3,1,1,2,0,3,3,3,1,1,1,1,0,3,0,2,0,2,0,0,0,0,5,sRNA
pre_9_train_U00096.3/3350577-3350684,4,1,1,1,2,2,0,1,1,0,1,0,2,2,1,3,1,0,2,0,4,2,2,2,1,3,2,4,1,1,3,1,2,1,2,1,1,2,2,2,0,6,1,1,0,1,3,1,1,2,0,4,0,3,3,1,0,3,1,2,3,1,1,2,sRNA
pre_10_train_U00096.3/3986432-3986638,3,6,4,2,4,2,3,3,2,6,2,3,1,2,4,1,0,3,0,2,6,6,0,4,6,1,2,4,7,5,4,5,2,2,4,1,4,2,4,4,1,4,0,2,0,3,5,5,3,4,4,8,3,3,4,3,3,2,0,4,2,4,2,8,sRNA
pre_11_train_U00096.3/4051036-4051289,7,8,10,1,5,1,4,1,16,3,10,2,2,4,5,1,4,2,3,1,1,2,2,1,5,3,9,2,1,1,2,4,13,2,5,5,7,3,6,4,4,3,5,7,4,2,3,5,5,2,8,3,1,1,2,3,2,4,1,3,1,3,4,6,sRNA
pre_12_train_U00096.3/1923100-1923244,5,2,6,3,1,1,1,0,5,3,2,2,2,2,2,3,2,1,3,1,0,1,1,3,1,0,3,4,1,0,4,4,2,1,2,3,2,3,3,3,5,3,0,0,2,2,3,4,4,1,2,1,3,4,2,1,1,4,4,1,2,1,0,3,sRNA
pre_13_train_U00096.3/888054-887976,0,0,0,0,1,3,0,0,0,0,2,2,0,0,1,2,0,1,1,3,2,3,1,0,0,2,0,1,0,1,0,4,0,0,1,0,1,2,0,0,0,1,1,1,0,1,3,5,2,0,0,2,1,1,1,2,3,0,2,2,0,3,4,6,sRNA
pre_14_train_U00096.3/1923203-1923104,0,1,2,0,0,2,3,2,2,3,1,0,3,1,1,2,4,2,1,1,2,1,1,4,1,2,2,1,0,0,3,4,2,2,0,3,3,1,0,3,0,2,0,1,0,3,0,0,1,0,2,1,2,4,1,0,1,1,1,1,1,4,0,4,sRNA
pre_15_train_U00096.3/2167112-2167197,5,2,0,2,3,4,0,3,1,1,1,0,0,1,1,0,0,1,2,1,1,3,1,2,1,0,2,2,5,1,1,2,3,2,0,0,0,0,0,2,0,1,0,1,1,0,2,1,2,2,1,2,1,2,0,2,0,3,0,0,2,1,1,1,sRNA
pre_16_train_U00096.3/3121358-3121579,4,4,4,5,3,2,4,1,1,7,3,3,6,1,5,4,1,4,2,2,5,2,2,6,3,4,6,3,2,1,1,3,4,3,2,5,1,3,3,0,1,1,0,5,12,2,2,4,5,3,3,6,2,3,6,4,0,3,3,5,7,5,2,9,sRNA
pre_17_train_U00096.3/1764768-1764708,2,1,2,1,0,1,1,1,1,2,1,0,0,0,2,0,1,1,1,0,0,2,0,2,3,0,2,0,0,1,0,1,1,0,2,1,1,1,2,0,2,3,1,2,3,0,1,0,1,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,sRNA
pre_18_train_U00096.3/1230629-1230707,6,0,2,4,4,2,2,0,3,1,0,1,2,2,1,0,2,2,1,1,1,0,1,0,1,3,0,1,1,0,2,0,1,2,2,2,2,0,0,2,3,1,0,0,2,0,0,0,1,0,4,1,1,0,0,0,1,1,0,0,0,0,1,2,sRNA
pre_19_train_U00096.3/3664861-3664974,2,2,3,0,2,1,1,0,0,1,3,2,2,1,2,1,2,1,0,2,1,1,2,2,2,1,5,3,2,2,1,0,0,1,3,0,2,1,2,2,3,2,0,3,1,1,0,5,0,2,2,3,0,7,0,2,1,0,0,1,3,2,3,8,sRNA
pre_20_train_U00096.3/2071315-2071518,8,3,5,5,5,6,5,6,2,2,1,2,4,4,1,2,1,4,0,7,4,2,1,2,5,4,5,3,1,1,2,8,5,7,0,1,3,1,2,1,1,0,1,1,5,3,0,3,1,5,4,5,6,4,2,0,3,0,1,3,7,5,3,6,sRNA
pre_21_train_U00096.3/2653855-2654158,5,2,3,5,3,4,8,1,4,4,4,4,4,1,6,4,2,2,3,4,5,4,3,6,4,9,7,8,4,3,4,7,8,3,4,5,4,6,7,4,2,9,8,2,5,2,10,6,5,5,3,3,3,3,7,6,1,7,3,8,3,10,3,8,sRNA
pre_22_train_U00096.3/189760-189846,2,4,0,3,2,0,1,0,0,1,1,2,1,1,0,1,0,1,0,0,4,0,1,2,0,1,2,1,3,0,1,3,2,1,1,3,2,1,1,0,1,1,4,3,2,1,1,0,0,2,0,1,0,2,2,0,1,0,5,1,1,1,4,1,sRNA
pre_23_train_U00096.3/2691340-2691193,4,2,0,4,4,2,5,2,2,2,1,4,1,1,2,3,3,5,2,2,3,4,0,1,2,4,2,1,3,5,2,2,1,3,1,1,2,2,5,4,2,3,1,2,4,1,1,0,2,2,3,3,3,2,2,2,1,2,3,0,1,3,2,0,sRNA
pre_24_train_U00096.3/686843-686681,4,4,1,1,4,4,3,1,1,3,4,1,4,2,1,3,1,1,4,5,2,2,2,6,5,3,3,1,1,4,2,2,5,3,3,0,1,2,2,3,0,2,3,2,5,2,3,1,2,4,0,2,2,4,4,1,2,2,2,3,1,2,0,6,sRNA
pre_25_train_U00096.3/1888102-1888017,2,1,2,0,0,2,2,0,1,3,0,3,1,3,1,0,2,0,0,1,0,1,2,0,2,2,2,2,0,1,2,2,1,1,1,0,4,0,5,1,1,3,2,2,2,0,0,2,3,2,4,1,0,0,2,0,1,0,0,1,0,0,0,3,sRNA
pre_26_train_U00096.3/2640686-2640595,1,1,0,1,1,2,3,0,1,2,4,1,0,0,2,1,1,0,0,0,1,2,4,1,1,1,0,1,0,2,3,3,3,1,2,2,0,0,0,2,3,1,2,3,0,2,2,3,1,1,2,3,1,3,0,0,3,2,1,0,2,0,1,2,sRNA
pre_27_train_U00096.3/4190487-4190327,5,5,2,5,3,4,1,3,3,2,4,4,3,3,2,2,2,2,4,1,5,1,1,1,5,3,3,1,1,3,2,2,7,1,3,2,3,1,2,1,3,0,1,2,2,3,2,3,4,0,3,4,3,3,2,3,0,3,1,0,0,3,2,2,sRNA
pre_28_train_U00096.3/1491506-1491443,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,2,0,1,0,2,3,1,2,1,1,0,2,1,1,0,1,2,1,0,0,0,2,0,1,1,3,0,0,1,0,1,2,2,2,1,1,1,1,3,1,0,4,sRNA
pre_29_train_U00096.3/2033649-2033738,0,0,0,1,0,1,1,0,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,4,0,0,0,1,2,1,2,3,0,1,0,1,1,0,2,3,0,0,1,8,0,2,1,2,0,1,2,2,4,2,3,15,sRNA
pre_30_train_U00096.3/1622948-1622735,11,4,1,3,6,1,3,4,2,6,3,1,2,6,7,0,2,3,2,3,2,5,0,1,1,1,5,9,2,1,3,7,7,1,1,2,2,3,4,1,3,2,3,2,4,1,2,7,3,3,7,6,7,1,3,3,1,3,1,3,4,6,1,6,sRNA
pre_31_train_U00096.3/4278066-4277926,4,6,6,0,6,4,4,2,3,1,0,3,1,0,1,1,5,4,1,0,0,5,2,3,2,1,4,1,0,3,3,2,6,2,0,2,1,2,3,0,4,3,5,3,1,1,2,2,2,1,2,0,1,1,0,2,3,1,1,2,2,0,3,1,sRNA
pre_32_train_U00096.3/1409129-1409246,1,0,1,1,1,0,2,0,2,3,1,2,1,2,4,4,0,3,1,3,1,2,0,1,1,2,1,0,4,2,0,5,1,2,1,3,1,0,4,3,2,2,0,2,0,1,4,2,3,2,1,2,3,1,3,3,3,2,2,2,0,1,2,5,sRNA
pre_33_train_U00096.3/458816-458721,5,0,3,5,0,1,1,0,1,1,3,3,3,2,0,1,0,2,1,0,2,6,0,1,1,0,0,1,0,1,0,3,2,1,1,3,1,0,1,0,4,0,3,0,2,0,1,2,5,1,1,0,1,3,1,0,1,0,2,1,2,1,2,3,sRNA
pre_34_train_U00096.3/123014-122901,2,1,2,1,0,1,1,5,1,2,0,3,2,2,1,2,1,1,0,3,2,1,2,2,1,1,3,1,1,0,1,5,3,2,0,0,1,1,2,0,0,1,0,1,1,2,2,4,2,1,3,4,0,3,1,3,3,2,0,1,6,5,2,3,sRNA
pre_35_train_U00096.3/14090-14167,3,2,0,0,0,0,1,1,0,0,5,0,1,1,1,5,1,0,1,1,0,2,2,1,1,1,2,1,0,2,1,1,3,0,1,2,2,1,1,0,2,3,2,1,1,0,0,0,2,1,0,3,2,1,1,2,0,0,1,0,3,2,0,0,sRNA
pre_36_train_U00096.3/4441334-4441277,1,1,0,1,0,1,1,0,0,1,0,1,1,1,3,1,1,1,1,2,0,0,0,3,1,1,1,1,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2,2,1,0,0,2,1,1,2,1,1,1,0,1,2,1,1,sRNA
pre_37_train_U00096.3/4332047-4332212,2,2,2,1,1,1,4,6,3,1,2,4,1,3,4,2,0,2,1,1,1,2,2,4,3,3,3,2,4,1,3,3,3,2,3,1,2,0,1,0,1,3,2,4,1,4,2,7,7,4,3,4,4,2,0,5,1,1,0,3,4,5,4,5,sRNA
pre_38_train_U00096.3/4235709-4235560,12,2,2,5,2,1,2,4,3,2,3,1,6,2,2,6,1,2,1,3,1,0,1,0,4,2,0,2,2,2,0,2,2,0,0,5,3,0,2,0,1,0,1,1,4,0,0,4,9,4,2,5,1,3,3,0,0,0,2,1,3,3,3,6,sRNA
pre_39_train_U00096.3/110960-111029,3,0,2,0,0,0,0,2,1,2,2,1,2,1,2,0,1,0,0,2,1,2,0,0,0,3,1,2,0,0,2,2,2,0,3,1,1,1,2,2,0,3,0,0,1,0,1,1,3,1,0,0,1,1,1,1,1,1,0,0,0,0,1,3,sRNA
pre_40_train_U00096.3/3915284-3915441,6,1,2,2,3,1,4,1,4,4,2,2,5,0,2,6,1,1,0,5,0,3,2,2,3,2,2,1,2,3,0,4,4,1,2,4,4,1,1,2,0,1,1,1,1,3,3,2,8,3,3,3,2,2,2,1,3,1,0,3,1,4,3,8,sRNA
pre_41_train_U00096.3/4060215-4060283,4,2,1,0,0,1,2,1,2,0,1,1,1,1,0,2,1,0,1,2,0,0,0,0,1,2,1,0,1,0,1,1,1,0,1,0,3,0,1,0,1,0,0,0,0,0,1,4,2,0,1,2,0,1,1,0,0,2,0,2,1,1,1,9,sRNA
pre_42_train_U00096.3/543188-543254,10,1,2,3,2,3,1,1,0,2,1,0,1,2,1,0,4,2,1,0,0,0,1,0,0,0,1,2,1,0,1,0,1,0,0,1,2,0,1,0,1,0,1,1,2,0,0,0,2,1,1,1,2,0,0,0,0,2,0,0,1,0,0,0,sRNA
pre_43_train_U00096.3/2087283-2087209,6,1,0,1,1,1,2,0,1,2,0,1,1,0,2,2,2,1,0,2,2,1,0,1,1,2,0,2,0,2,0,2,0,1,0,0,2,0,3,1,0,1,0,1,1,0,1,2,2,1,2,2,1,0,1,0,0,0,2,0,1,2,1,4,sRNA
pre_44_train_U00096.3/1335499-1335701,6,4,1,5,6,4,2,3,2,1,3,0,7,2,2,2,3,2,0,3,5,3,2,5,2,6,4,2,1,2,3,6,2,1,2,2,1,3,4,1,0,3,3,5,2,5,5,4,5,5,2,7,1,0,1,7,5,1,3,2,2,6,6,4,sRNA
pre_45_train_U00096.3/1737843-1737453,19,9,5,7,7,2,9,6,7,5,9,4,6,2,10,10,5,4,3,4,6,5,3,7,6,5,4,5,6,5,5,8,17,5,6,1,4,5,6,2,4,3,7,10,5,4,3,8,8,11,4,10,9,2,5,2,5,6,3,7,4,6,8,9,sRNA
pre_46_train_U00096.3/1795311-1795153,8,5,4,1,2,2,4,3,4,4,2,1,2,3,1,2,6,1,1,1,1,3,1,5,5,4,4,2,1,2,1,3,3,1,4,1,4,4,5,1,0,1,1,3,2,3,0,1,5,4,2,2,2,0,2,1,2,1,0,0,1,3,2,5,sRNA
pre_47_train_U00096.3/940868-940734,7,1,6,5,2,0,2,0,2,2,2,4,6,3,2,4,5,0,0,0,1,1,2,2,0,1,1,1,0,1,1,1,4,0,5,3,1,1,1,0,4,2,1,2,3,1,0,3,3,2,3,3,2,0,2,0,5,0,2,2,2,2,1,6,sRNA
pre_48_train_U00096.3/4326081-4326005,1,0,0,0,1,1,1,0,0,5,2,0,0,0,1,0,0,3,0,0,1,1,1,1,3,3,3,1,1,2,2,1,1,0,0,2,1,1,5,3,1,2,0,2,1,0,2,2,0,1,2,2,0,2,4,0,0,1,0,0,1,1,0,1,sRNA
pre_49_train_U00096.3/4326181-4326105,1,0,1,0,2,1,0,1,0,5,1,0,0,0,2,0,1,3,0,0,1,1,1,1,2,3,3,1,1,2,2,1,1,0,0,2,2,1,4,2,1,2,0,2,1,0,1,2,0,1,2,2,0,2,4,0,0,1,0,0,1,1,0,1,sRNA
pre_50_train_U00096.3/4326381-4326305,1,0,0,1,1,2,1,0,0,5,2,0,0,0,0,0,0,2,1,0,1,1,3,2,3,2,3,1,1,2,2,0,1,0,0,2,2,0,4,2,1,4,0,1,1,1,3,1,0,0,2,2,0,2,3,0,0,2,0,0,0,1,0,1,sRNA
pre_51_train_U00096.3/216058-216134,1,0,0,0,1,1,1,0,0,6,2,0,0,0,1,0,0,2,0,1,2,2,1,1,2,2,3,0,1,2,2,1,1,0,0,2,1,1,5,2,1,2,0,2,1,1,3,1,1,1,1,3,0,0,3,1,0,1,0,1,1,1,0,1,sRNA
