nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_4_train_U00096.3/3580987-3580923,0.7168,0.3564,sRNA
pre_5_train_U00096.3/1146589-1146757,0.8306,0.46399,sRNA
pre_6_train_U00096.3/2814802-2814873,0.8862000000000001,0.45302,sRNA
pre_7_train_U00096.3/2976189-2976102,1.0702,0.39971999999999996,sRNA
pre_8_train_U00096.3/2976385-2976304,0.9535,0.47559,sRNA
pre_9_train_U00096.3/3350577-3350684,1.2508000000000001,0.438,sRNA
pre_10_train_U00096.3/3986432-3986638,0.9367000000000001,0.45596000000000003,sRNA
pre_11_train_U00096.3/4051036-4051289,0.7166,0.45571,sRNA
pre_12_train_U00096.3/1923100-1923244,0.6554,0.36453,sRNA
pre_13_train_U00096.3/888054-887976,0.6862,0.38691000000000003,sRNA
pre_14_train_U00096.3/1923203-1923104,0.7692000000000001,0.36864,sRNA
pre_15_train_U00096.3/2167112-2167197,0.9062,0.44742,sRNA
pre_16_train_U00096.3/3121358-3121579,0.8017000000000001,0.48245999999999994,sRNA
pre_17_train_U00096.3/1764768-1764708,0.643,0.30708,sRNA
pre_18_train_U00096.3/1230629-1230707,0.7675000000000001,0.44204,sRNA
pre_19_train_U00096.3/3664861-3664974,0.6625,0.34945000000000004,sRNA
pre_20_train_U00096.3/2071315-2071518,0.5925,0.36838,sRNA
pre_21_train_U00096.3/2653855-2654158,0.9284000000000001,0.37853000000000003,sRNA
pre_22_train_U00096.3/189760-189846,0.6772999999999999,0.38214000000000004,sRNA
pre_23_train_U00096.3/2691340-2691193,0.8586999999999999,0.47676,sRNA
pre_24_train_U00096.3/686843-686681,1.0373,0.46242999999999995,sRNA
pre_25_train_U00096.3/1888102-1888017,0.9468000000000001,0.40259999999999996,sRNA
pre_26_train_U00096.3/2640686-2640595,0.6646,0.42147,sRNA
pre_27_train_U00096.3/4190487-4190327,0.7166,0.37904,sRNA
pre_28_train_U00096.3/1491506-1491443,0.8801,0.38085,sRNA
pre_29_train_U00096.3/2033649-2033738,0.7346000000000001,0.36178,sRNA
pre_30_train_U00096.3/1622948-1622735,0.5562,0.35223,sRNA
pre_31_train_U00096.3/4278066-4277926,1.0006,0.4628,sRNA
pre_32_train_U00096.3/1409129-1409246,1.1915,0.46548,sRNA
pre_33_train_U00096.3/458816-458721,0.6763,0.39943,sRNA
pre_34_train_U00096.3/123014-122901,0.8148,0.45203,sRNA
pre_35_train_U00096.3/14090-14167,0.8034000000000001,0.40962000000000004,sRNA
pre_36_train_U00096.3/4441334-4441277,0.7493,0.37533,sRNA
pre_37_train_U00096.3/4332047-4332212,0.7386,0.36774999999999997,sRNA
pre_38_train_U00096.3/4235709-4235560,0.5769,0.34251,sRNA
pre_39_train_U00096.3/110960-111029,0.8913,0.42400000000000004,sRNA
pre_40_train_U00096.3/3915284-3915441,0.9965999999999999,0.47298,sRNA
pre_41_train_U00096.3/4060215-4060283,0.7354,0.43413999999999997,sRNA
pre_42_train_U00096.3/543188-543254,0.9523000000000001,0.43244,sRNA
pre_43_train_U00096.3/2087283-2087209,0.7899,0.39608,sRNA
pre_44_train_U00096.3/1335499-1335701,1.0783,0.46148999999999996,sRNA
pre_45_train_U00096.3/1737843-1737453,0.4482,0.36508,sRNA
pre_46_train_U00096.3/1795311-1795153,0.7035999999999999,0.39954999999999996,sRNA
pre_47_train_U00096.3/940868-940734,0.6873,0.34367,sRNA
pre_48_train_U00096.3/4326081-4326005,1.3310000000000002,0.39182,sRNA
pre_49_train_U00096.3/4326181-4326105,1.1469,0.41531,sRNA
pre_50_train_U00096.3/4326381-4326305,1.3094000000000001,0.39259,sRNA
pre_51_train_U00096.3/216058-216134,1.1309,0.43785,sRNA
pre_52_train_U00096.3/3139624-3139700,1.2141,0.44634,sRNA
pre_53_train_U00096.3/4027473-4027550,0.6531999999999999,0.29869999999999997,sRNA
pre_54_train_U00096.3/758482-758412,1.1952,0.4274,sRNA
pre_55_train_U00096.3/375263-375186,0.808,0.41638,sRNA
pre_56_train_U00096.3/4457188-4457265,0.7832,0.37834,sRNA
pre_57_train_U00096.3/4218439-4218516,0.9923,0.44845999999999997,sRNA
pre_58_train_U00096.3/375162-375085,0.8433999999999999,0.39335000000000003,sRNA
pre_59_train_U00096.3/4249324-4249394,1.2967000000000002,0.4237,sRNA
pre_60_train_U00096.3/4285305-4285375,1.2313,0.44933,sRNA
pre_61_train_U00096.3/508585-508662,0.9988000000000001,0.45396000000000003,sRNA
pre_62_train_U00096.3/411134-411213,1.3029000000000002,0.41345,sRNA
pre_63_train_U00096.3/377391-377468,0.8526,0.39198,sRNA
pre_64_train_U00096.3/4103587-4103510,1.0181,0.45334,sRNA
pre_65_train_U00096.3/111549-111626,0.7724,0.43061,sRNA
pre_66_train_U00096.3/837658-837588,1.2635,0.42166,sRNA
pre_67_train_U00096.3/339880-339811,1.0354,0.41331999999999997,sRNA
pre_68_train_U00096.3/111433-111509,1.3102,0.41313000000000005,sRNA
pre_69_train_U00096.3/2317027-2316951,1.2769000000000001,0.41317,sRNA
pre_70_train_U00096.3/4614462-4614540,0.9122,0.45889,sRNA
pre_71_train_U00096.3/3392198-3392129,1.0068000000000001,0.42784,sRNA
pre_72_train_U00096.3/4296024-4296094,1.3102,0.41313000000000005,sRNA
pre_73_train_U00096.3/248203-248280,1.0239,0.43794999999999995,sRNA
pre_74_train_U00096.3/4614361-4614439,0.9518000000000001,0.44401,sRNA
pre_75_train_U00096.3/2347277-2347207,1.1049,0.41081,sRNA
pre_76_train_U00096.3/2304646-2304729,0.4811,0.31948,sRNA
pre_77_train_U00096.3/3392289-3392220,0.882,0.43094,sRNA
pre_78_train_U00096.3/900752-900832,1.2652,0.46009,sRNA
pre_79_train_U00096.3/4614260-4614338,1.0142,0.42721,sRNA
pre_80_train_U00096.3/4053533-4053610,1.0119,0.36840999999999996,sRNA
pre_81_train_U00096.3/3042395-3042472,0.8842000000000001,0.36157999999999996,sRNA
pre_82_train_U00096.3/501447-501524,0.9247,0.43072,sRNA
pre_83_train_U00096.3/2304759-2304842,0.5965,0.34894000000000003,sRNA
pre_84_train_U00096.3/244132-244209,1.0664,0.43648999999999993,sRNA
pre_85_train_U00096.3/2118524-2118594,1.2811000000000001,0.42066,sRNA
pre_86_train_U00096.3/3231382-3231301,1.0170000000000001,0.33546999999999993,sRNA
pre_87_train_U00096.3/339973-339904,0.9657,0.40295000000000003,sRNA
pre_88_train_U00096.3/2662430-2662359,1.0166,0.41022,sRNA
pre_89_train_U00096.3/2568269-2568188,1.0533000000000001,0.37407999999999997,sRNA
pre_90_train_U00096.3/354690-354766,1.3029000000000002,0.41345,sRNA
pre_91_train_U00096.3/4295911-4295981,1.2968000000000002,0.41758999999999996,sRNA
pre_92_train_U00096.3/3392380-3392311,0.6233,0.35856,sRNA
pre_93_train_U00096.3/4450947-4451025,1.2374,0.39161,sRNA
pre_94_train_U00096.3/4094411-4094481,1.1153000000000002,0.46265999999999996,sRNA
pre_95_train_U00096.3/1062488-1062410,0.8478,0.38121,sRNA
pre_96_train_U00096.3/4323249-4323329,0.7474000000000001,0.35568999999999995,sRNA
pre_97_train_U00096.3/3708275-3708354,1.195,0.43009000000000003,sRNA
pre_98_train_U00096.3/3313325-3313255,1.0637,0.39333,sRNA
pre_99_train_U00096.3/4245095-4245165,1.2708000000000002,0.42130999999999996,sRNA
pre_100_train_U00096.3/3231482-3231401,0.8636,0.33836,sRNA
pre_101_train_U00096.3/4628698-4628776,1.0403,0.43744000000000005,sRNA
pre_102_train_U00096.3/508662-508585,0.8728,0.37763,sRNA
pre_103_train_U00096.3/2304420-2304503,0.7990999999999999,0.33034,sRNA
pre_104_train_U00096.3/508763-508686,0.7911,0.41717000000000004,sRNA
pre_105_train_U00096.3/375362-375287,1.1448,0.42604,sRNA
pre_106_train_U00096.3/375085-375162,0.7453000000000001,0.38687000000000005,sRNA
pre_107_train_U00096.3/375186-375263,0.7088000000000001,0.40213999999999994,sRNA
pre_108_train_U00096.3/2593057-2592981,1.0946,0.40953999999999996,sRNA
pre_109_train_U00096.3/3150740-3150670,0.9638,0.43402999999999997,sRNA
pre_110_train_U00096.3/3098534-3098464,1.2378,0.45730000000000004,sRNA
pre_111_train_U00096.3/805859-805929,1.1346,0.4267,sRNA
pre_112_train_U00096.3/66675-66610,0.8955000000000001,0.44981,sRNA
pre_113_train_U00096.3/3139700-3139624,1.1336,0.41374,sRNA
pre_114_train_U00096.3/762854-762925,0.8991,0.41284999999999994,sRNA
pre_115_train_U00096.3/1958748-1958441,0.9382,0.39156,sRNA
pre_116_train_U00096.3/1413556-1413734,0.7431,0.38068,sRNA
pre_117_train_U00096.3/29551-29603,0.8176,0.36003,sRNA
pre_118_train_U00096.3/740988-741030,0.6798,0.35821000000000003,sRNA
pre_119_train_U00096.3/3705997-3706039,0.6625000000000001,0.39771,sRNA
pre_120_train_U00096.3/1816219-1816261,0.7078,0.38266,sRNA
pre_121_train_U00096.3/2714346-2714304,0.7029,0.39946,sRNA
pre_122_train_U00096.3/4108633-4108592,0.5418000000000001,0.3759,sRNA
pre_123_train_U00096.3/3070037-3070079,0.749,0.37584,sRNA
pre_124_train_U00096.3/2945959-2945917,0.9198,0.40378000000000003,sRNA
pre_125_train_U00096.3/3741027-3740985,0.8224,0.42472,sRNA
pre_126_train_U00096.3/1103343-1103252,1.0079,0.40376,sRNA
pre_127_train_U00096.3/3156521-3156584,0.7401,0.37307,sRNA
pre_128_train_U00096.3/3659011-3659082,1.1611,0.45516,sRNA
pre_129_train_U00096.3/4436566-4436688,0.8896999999999999,0.43371,sRNA
pre_130_train_U00096.3/2734292-2734154,0.6140000000000001,0.41498999999999997,sRNA
pre_131_train_U00096.3/105224-105313,0.8944000000000001,0.39946,sRNA
pre_132_train_U00096.3/190685-190794,0.8172999999999999,0.32947,sRNA
nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_train_U00096.3/780554-780626,0.8184,0.36768,tRNA
pre_1_train_U00096.3/4175754-4175826,1.066,0.40492,tRNA
pre_2_train_U00096.3/3215598-3215670,0.7777000000000001,0.43776000000000004,tRNA
pre_3_train_U00096.3/4175388-4175460,0.9176,0.39616,tRNA
pre_4_train_U00096.3/2044549-2044621,0.8585,0.42377,tRNA
pre_5_train_U00096.3/564723-564796,0.8540000000000001,0.339,tRNA
pre_6_train_U00096.3/2999057-2998987,0.6683,0.35885,tRNA
pre_7_train_U00096.3/3423655-3423583,1.083,0.40340000000000004,tRNA
pre_8_train_U00096.3/3110366-3110438,0.968,0.37167999999999995,tRNA
pre_9_train_U00096.3/1992117-1992045,1.0085,0.40926999999999997,tRNA
pre_10_train_U00096.3/1746435-1746508,0.6775,0.34387000000000006,tRNA
pre_11_train_U00096.3/2817860-2817787,0.723,0.38114000000000003,tRNA
pre_12_train_U00096.3/228928-229001,0.7009,0.31071000000000004,tRNA
pre_13_train_U00096.3/1746516-1746589,0.7007000000000001,0.29501,tRNA
pre_14_train_U00096.3/3946957-3947029,0.6343000000000001,0.38266,tRNA
pre_15_train_U00096.3/2043557-2043471,1.0191999999999999,0.44908,tRNA
pre_16_train_U00096.3/4175673-4175744,1.1566,0.41401000000000004,tRNA
pre_17_train_U00096.3/1031712-1031628,0.7464,0.38761,tRNA
pre_18_train_U00096.3/3982735-3982808,0.6528,0.35424,tRNA
pre_19_train_U00096.3/696830-696759,0.6125,0.31983,tRNA
pre_20_train_U00096.3/696504-696433,0.8079000000000001,0.36841,tRNA
pre_21_train_U00096.3/2520931-2521003,0.7954,0.38418,tRNA
pre_22_train_U00096.3/2466309-2466380,1.0445000000000002,0.38016,tRNA
pre_23_train_U00096.3/2818645-2818556,0.5784,0.37361999999999995,tRNA
pre_24_train_U00096.3/4496405-4496486,0.9356,0.37428999999999996,tRNA
pre_25_train_U00096.3/3318289-3318216,0.9180000000000001,0.36511,tRNA
pre_26_train_U00096.3/4175472-4175553,1.0702,0.45526,tRNA
pre_27_train_U00096.3/1287328-1287247,0.9495,0.46134,tRNA
pre_28_train_U00096.3/2518116-2518044,0.8288000000000001,0.36812,tRNA
pre_29_train_U00096.3/2729444-2729372,0.7277,0.30022,tRNA
pre_30_train_U00096.3/1991901-1991818,1.1044,0.41765,tRNA
pre_31_train_U00096.3/3708692-3708619,0.5728,0.37392,tRNA
pre_32_train_U00096.3/697047-696966,0.996,0.34376999999999996,tRNA
pre_33_train_U00096.3/1991987-1991917,1.0273,0.38292999999999994,tRNA
pre_34_train_U00096.3/3322158-3322075,1.0806,0.40647,tRNA
pre_35_train_U00096.3/2286211-2286284,0.6862,0.33275,tRNA
pre_36_train_U00096.3/4606286-4606203,1.1341999999999999,0.38181,tRNA
pre_37_train_U00096.3/3982606-3982689,1.1076,0.38401,tRNA
pre_38_train_U00096.3/3836223-3836312,0.994,0.41643,tRNA
pre_39_train_U00096.3/3836222-3836312,0.9196,0.41233000000000003,tRNA
nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_test_U00096.3/3941813-3943344,0.4943,0.34767000000000003,rRNA
pre_1_test_U00096.3/2729185-2726282,0.4868,0.33828,rRNA
pre_2_test_U00096.3/4171639-4171754,0.8909,0.41219999999999996,rRNA
pre_3_test_U00096.3/4166664-4168198,0.4579,0.34519,rRNA
pre_4_test_U00096.3/3943704-3946607,0.4868,0.33828,rRNA
pre_5_test_U00096.3/3943863-3946589,0.4868,0.33828,rRNA
pre_6_test_U00096.3/3941813-3943347,0.4943,0.34767000000000003,rRNA
pre_7_test_U00096.3/223776-225307,0.4579,0.34519,rRNA
nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_test_U00096.3/4027375-4027452,0.7375999999999999,0.35866,sRNA
pre_1_test_U00096.3/2691339-2691155,0.6438999999999999,0.40306,sRNA
pre_2_test_U00096.3/507204-507287,0.6107,0.38944,sRNA
pre_3_test_U00096.3/3311227-3311398,0.6010999999999999,0.38880000000000003,sRNA
pre_4_test_U00096.3/1405751-1405656,0.8027000000000001,0.44379,sRNA
pre_5_test_U00096.3/2177481-2177411,1.3124,0.40913000000000005,sRNA
pre_6_test_U00096.3/4235424-4235494,1.2317,0.39866,sRNA
pre_7_test_U00096.3/4094319-4094389,1.2245,0.42759,sRNA
pre_8_test_U00096.3/4325981-4325905,1.3112000000000001,0.41954,sRNA
pre_9_test_U00096.3/638707-638800,0.8531000000000001,0.35407,sRNA
pre_10_test_U00096.3/4325881-4325805,1.2590000000000001,0.38172999999999996,sRNA
pre_11_test_U00096.3/4614563-4614641,0.9913000000000001,0.42379,sRNA
pre_12_test_U00096.3/3986434-3986582,1.0695000000000001,0.40177,sRNA
pre_13_test_U00096.3/1113480-1113438,0.7999,0.40128,sRNA
pre_14_test_U00096.3/4094503-4094573,1.0106000000000002,0.46484999999999993,sRNA
pre_15_test_U00096.3/247461-247538,0.7616,0.41336,sRNA
pre_16_test_U00096.3/2316913-2316837,1.3082,0.41502,sRNA
pre_17_test_U00096.3/984395-984437,0.8632000000000001,0.43715000000000004,sRNA
pre_18_test_U00096.3/2236680-2236603,0.5275,0.37385,sRNA
pre_19_test_U00096.3/4296363-4296431,1.0321,0.42886,sRNA
pre_20_test_U00096.3/2304985-2305067,0.5905,0.31190999999999997,sRNA
pre_21_test_U00096.3/4058218-4058325,0.5257,0.30948,sRNA
pre_22_test_U00096.3/2592981-2593057,1.1802,0.4506,sRNA
pre_23_test_U00096.3/1770372-1770479,0.6127999999999999,0.38261999999999996,sRNA
pre_24_test_U00096.3/349752-349823,0.8452999999999999,0.37762999999999997,sRNA
pre_25_test_U00096.3/1437118-1437238,0.8457000000000001,0.43554,sRNA
pre_26_test_U00096.3/508686-508763,0.8199000000000001,0.42835,sRNA
pre_27_test_U00096.3/2653515-2653723,0.5920000000000001,0.40242000000000006,sRNA
pre_28_test_U00096.3/375061-374984,0.8329,0.4049,sRNA
pre_29_test_U00096.3/4019978-4020229,1.0724,0.42744,sRNA
pre_30_test_U00096.3/1972739-1972816,0.5701999999999999,0.42108,sRNA
pre_31_test_U00096.3/2808134-2808211,1.2189,0.44305999999999995,sRNA
pre_32_test_U00096.3/3203265-3203195,1.3258,0.43773,sRNA
nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_test_U00096.3/3982510-3982582,1.0842,0.40816,tRNA
pre_1_test_U00096.3/225500-225572,0.7339,0.33995999999999993,tRNA
pre_2_test_U00096.3/225381-225454,0.4458,0.28286,tRNA
pre_3_test_U00096.3/262871-262943,1.1634,0.41554,tRNA
pre_4_test_U00096.3/3982375-3982448,0.5068,0.28318000000000004,tRNA
pre_5_test_U00096.3/2947387-2947460,0.8542000000000001,0.36464,tRNA
pre_6_test_U00096.3/297178-297251,0.9914000000000001,0.4698,tRNA
pre_7_test_U00096.3/696740-696667,1.1537,0.46475,tRNA
pre_8_test_U00096.3/925971-925887,0.7107,0.34538,tRNA
pre_9_test_U00096.3/2785837-2785765,0.775,0.38308,tRNA
