Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,label
Niddrie,4,h,1350000.0,11.2,4.0,3.0,2.0,747.0,Western Metropolitan
Ascot Vale,2,u,685000.0,5.9,2.0,1.0,2.0,228.0,Western Metropolitan
Fawkner,5,h,1018000.0,13.1,5.0,2.0,2.0,737.0,Northern Metropolitan
Malvern East,3,h,1782500.0,11.2,3.0,1.0,2.0,615.0,Southern Metropolitan
Craigieburn,4,h,735000.0,20.6,4.0,2.0,2.0,771.0,Northern Metropolitan
South Yarra,1,u,510000.0,3.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Albion,4,h,660000.0,13.9,4.0,1.0,1.0,697.0,Western Metropolitan
Broadmeadows,3,h,632000.0,14.0,3.0,1.0,4.0,697.0,Northern Metropolitan
South Yarra,1,u,310000.0,3.3,1.0,1.0,1.0,0.0,Southern Metropolitan
St Kilda,2,u,500000.0,6.1,2.0,1.0,1.0,5530.0,Southern Metropolitan
Footscray,2,u,370000.0,6.4,2.0,1.0,1.0,0.0,Western Metropolitan
Essendon,5,h,2800000.0,8.0,5.0,4.0,6.0,877.0,Western Metropolitan
Ivanhoe,2,h,1320000.0,7.8,2.0,1.0,0.0,620.0,Eastern Metropolitan
Northcote,4,h,1900000.0,5.5,3.0,2.0,1.0,537.0,Northern Metropolitan
Essendon West,3,h,685000.0,9.8,3.0,1.0,2.0,293.0,Western Metropolitan
Richmond,3,h,1100000.0,2.6,3.0,2.0,1.0,66.0,Northern Metropolitan
Balwyn North,5,h,3000000.0,9.7,5.0,4.0,2.0,830.0,Southern Metropolitan
Donvale,3,t,920000.0,16.1,3.0,2.0,2.0,239.0,Eastern Metropolitan
Brunswick West,1,u,285000.0,5.9,1.0,1.0,1.0,0.0,Northern Metropolitan
Keilor East,3,h,900000.0,12.8,3.0,1.0,2.0,600.0,Western Metropolitan
Kingsbury,3,u,488000.0,12.4,3.0,1.0,1.0,260.0,Northern Metropolitan
Toorak,3,t,2700000.0,4.6,3.0,2.0,2.0,294.0,Southern Metropolitan
Richmond,2,h,1220000.0,2.6,2.0,1.0,1.0,80.0,Northern Metropolitan
Vermont,5,h,1150000.0,17.2,5.0,2.0,2.0,599.0,Eastern Metropolitan
Prahran,2,u,685000.0,4.5,2.0,1.0,1.0,8220.0,Southern Metropolitan
Cheltenham,3,h,975000.0,17.9,3.0,2.0,2.0,595.0,Southern Metropolitan
Carnegie,1,u,345000.0,11.4,1.0,1.0,1.0,0.0,Southern Metropolitan
Hawthorn,2,h,1682000.0,5.3,2.0,1.0,1.0,264.0,Southern Metropolitan
Richmond,2,h,1125000.0,2.6,2.0,1.0,0.0,103.0,Northern Metropolitan
Altona North,3,h,720000.0,11.1,3.0,2.0,1.0,0.0,Western Metropolitan
Epping,3,h,556000.0,19.6,3.0,1.0,1.0,525.0,Northern Metropolitan
Brighton East,4,h,2150000.0,10.7,4.0,3.0,2.0,614.0,Southern Metropolitan
Windsor,1,u,372000.0,5.1,1.0,1.0,1.0,0.0,Southern Metropolitan
Heidelberg Heights,3,h,1100000.0,10.5,3.0,1.0,0.0,613.0,Eastern Metropolitan
Glen Iris,2,u,480000.0,9.2,2.0,1.0,1.0,0.0,Southern Metropolitan
Flemington,3,h,1205000.0,4.4,3.0,1.0,0.0,251.0,Northern Metropolitan
Fitzroy,2,h,1350000.0,1.6,2.0,1.0,0.0,131.0,Northern Metropolitan
Kew East,3,h,1750000.0,7.5,3.0,2.0,4.0,611.0,Southern Metropolitan
Footscray,2,h,752000.0,6.4,2.0,1.0,0.0,215.0,Western Metropolitan
Vermont South,5,h,1360000.0,17.2,5.0,3.0,2.0,882.0,Eastern Metropolitan
Essendon,3,h,1505000.0,8.0,3.0,2.0,2.0,625.0,Western Metropolitan
Keilor East,3,t,705000.0,12.8,3.0,2.0,1.0,440.0,Western Metropolitan
Melbourne,2,u,390000.0,2.8,2.0,1.0,1.0,1751.0,Northern Metropolitan
Endeavour Hills,3,h,580000.0,28.5,3.0,1.0,8.0,665.0,South-Eastern Metropolitan
Templestowe,4,h,1860000.0,15.5,4.0,3.0,3.0,682.0,Eastern Metropolitan
Seddon,3,h,1315000.0,5.1,4.0,3.0,2.0,122.0,Western Metropolitan
Keilor East,3,h,823000.0,12.8,3.0,1.0,2.0,538.0,Western Metropolitan
Bentleigh,3,t,1435000.0,11.4,3.0,3.0,2.0,307.0,Southern Metropolitan
Elwood,2,u,660000.0,7.7,2.0,2.0,1.0,317.0,Southern Metropolitan
Brunswick West,4,h,1325000.0,5.2,4.0,1.0,0.0,465.0,Northern Metropolitan
Montmorency,3,h,960000.0,16.2,3.0,1.0,1.0,1285.0,Eastern Metropolitan
Oakleigh,3,h,1225000.0,14.0,3.0,1.0,2.0,528.0,Southern Metropolitan
Malvern East,3,h,2265000.0,8.4,3.0,2.0,2.0,531.0,Southern Metropolitan
Heidelberg,2,t,600000.0,10.6,2.0,1.0,2.0,145.0,Eastern Metropolitan
Princes Hill,2,h,1625000.0,3.5,2.0,1.0,1.0,253.0,Northern Metropolitan
Carnegie,4,h,1501000.0,11.4,3.0,2.0,1.0,598.0,Southern Metropolitan
Brunswick East,2,u,656000.0,4.5,2.0,1.0,1.0,0.0,Northern Metropolitan
Malvern East,1,u,267500.0,11.2,1.0,1.0,1.0,2410.0,Southern Metropolitan
Noble Park,3,h,752000.0,22.7,3.0,2.0,2.0,667.0,South-Eastern Metropolitan
Moonee Ponds,4,h,1225000.0,6.9,4.0,1.0,1.0,388.0,Western Metropolitan
Eaglemont,3,h,1925000.0,8.9,3.0,2.0,2.0,780.0,Eastern Metropolitan
Reservoir,3,h,723000.0,11.2,3.0,1.0,1.0,535.0,Northern Metropolitan
Vermont,3,t,820000.0,17.2,3.0,2.0,2.0,277.0,Eastern Metropolitan
Brunswick,3,h,1150000.0,5.2,3.0,1.0,1.0,360.0,Northern Metropolitan
Prahran,3,u,1400000.0,4.5,3.0,2.0,2.0,0.0,Southern Metropolitan
Newport,3,t,962000.0,8.4,3.0,2.0,2.0,283.0,Western Metropolitan
Hawthorn,3,h,1460000.0,5.3,3.0,1.0,1.0,259.0,Southern Metropolitan
Yarraville,3,h,950000.0,7.0,3.0,1.0,2.0,240.0,Western Metropolitan
Surrey Hills,3,h,2100000.0,10.2,3.0,1.0,9.0,841.0,Southern Metropolitan
Pascoe Vale,2,t,610000.0,9.9,2.0,1.0,1.0,169.0,Northern Metropolitan
Malvern,4,h,2400000.0,7.4,4.0,2.0,2.0,586.0,Southern Metropolitan
Niddrie,3,u,600000.0,11.2,3.0,2.0,1.0,164.0,Western Metropolitan
Brighton,4,h,3225000.0,10.5,4.0,3.0,3.0,803.0,Southern Metropolitan
Yarraville,1,u,345000.0,7.0,1.0,1.0,1.0,0.0,Western Metropolitan
Thornbury,2,h,740000.0,6.5,3.0,1.0,2.0,467.0,Northern Metropolitan
Brighton East,3,h,1500000.0,10.7,3.0,2.0,2.0,315.0,Southern Metropolitan
Greenvale,5,h,750000.0,20.4,5.0,2.0,2.0,877.0,Northern Metropolitan
Surrey Hills,3,h,1715000.0,10.2,3.0,1.0,2.0,438.0,Southern Metropolitan
Hampton East,2,u,472000.0,14.5,2.0,1.0,1.0,215.0,Southern Metropolitan
Prahran,2,h,1365000.0,4.6,2.0,1.0,,206.0,Southern Metropolitan
Ivanhoe,2,u,440000.0,7.9,2.0,1.0,0.0,0.0,Eastern Metropolitan
Brunswick West,2,u,370000.0,5.9,2.0,1.0,1.0,0.0,Northern Metropolitan
Ascot Vale,2,h,1005000.0,5.9,2.0,1.0,1.0,202.0,Western Metropolitan
Collingwood,2,u,800000.0,1.6,2.0,1.0,1.0,0.0,Northern Metropolitan
Carnegie,2,u,680000.0,10.1,2.0,1.0,1.0,145.0,Southern Metropolitan
Canterbury,3,t,1381000.0,8.4,3.0,2.0,2.0,230.0,Southern Metropolitan
Bentleigh,2,u,420000.0,11.4,2.0,1.0,1.0,0.0,Southern Metropolitan
Hawthorn,2,u,560000.0,4.6,2.0,1.0,0.0,0.0,Southern Metropolitan
Hampton,4,h,1740000.0,13.7,4.0,3.0,2.0,414.0,Southern Metropolitan
Carnegie,4,h,1966000.0,10.1,4.0,2.0,2.0,627.0,Southern Metropolitan
Keilor East,3,h,600000.0,12.8,3.0,1.0,1.0,565.0,Western Metropolitan
Pascoe Vale,4,h,820000.0,9.9,4.0,1.0,1.0,420.0,Northern Metropolitan
Seaford,4,h,795000.0,35.4,4.0,2.0,2.0,631.0,South-Eastern Metropolitan
Eaglemont,4,h,2309000.0,10.3,4.0,3.0,2.0,1177.0,Eastern Metropolitan
Dandenong,4,h,583000.0,24.7,4.0,1.0,2.0,757.0,South-Eastern Metropolitan
Rosanna,3,h,860000.0,11.4,3.0,1.0,2.0,583.0,Eastern Metropolitan
Pascoe Vale,4,h,975000.0,9.9,4.0,1.0,1.0,733.0,Northern Metropolitan
Brighton,3,h,1385000.0,11.2,3.0,1.0,2.0,426.0,Southern Metropolitan
Richmond,2,t,1090000.0,2.6,2.0,2.0,1.0,0.0,Northern Metropolitan
Brunswick East,2,h,1265000.0,4.0,2.0,1.0,3.0,439.0,Northern Metropolitan
Kew East,5,h,1850000.0,7.5,5.0,3.0,4.0,787.0,Southern Metropolitan
Northcote,2,h,890000.0,5.5,2.0,1.0,1.0,225.0,Northern Metropolitan
Brighton East,1,u,340000.0,10.7,1.0,1.0,1.0,0.0,Southern Metropolitan
Carlton,1,u,350000.0,1.6,1.0,1.0,1.0,0.0,Northern Metropolitan
Brunswick West,2,t,598000.0,5.9,2.0,1.0,1.0,69.0,Northern Metropolitan
Williamstown,3,h,1200000.0,6.8,3.0,2.0,0.0,159.0,Western Metropolitan
Brunswick,3,t,981000.0,5.2,3.0,2.0,1.0,122.0,Northern Metropolitan
Middle Park,3,h,1850000.0,3.0,3.0,2.0,1.0,321.0,Southern Metropolitan
Ashburton,3,h,1555000.0,10.2,3.0,1.0,4.0,649.0,Southern Metropolitan
Niddrie,3,t,830000.0,11.2,3.0,3.0,2.0,303.0,Western Metropolitan
Malvern East,4,h,1350000.0,11.2,4.0,3.0,2.0,222.0,Southern Metropolitan
Altona North,3,h,988000.0,11.1,3.0,1.0,4.0,715.0,Western Metropolitan
Maidstone,3,u,520000.0,9.2,3.0,2.0,2.0,184.0,Western Metropolitan
Melbourne,2,u,671000.0,2.8,2.0,1.0,1.0,0.0,Northern Metropolitan
Glen Iris,4,h,1900000.0,9.2,4.0,4.0,2.0,708.0,Southern Metropolitan
West Footscray,3,h,850000.0,8.2,3.0,1.0,1.0,361.0,Western Metropolitan
Dandenong North,4,h,614000.0,24.7,4.0,2.0,2.0,680.0,South-Eastern Metropolitan
Aberfeldie,3,h,1195000.0,7.5,3.0,2.0,2.0,381.0,Western Metropolitan
Elsternwick,4,h,1100000.0,8.5,4.0,2.0,0.0,147.0,Southern Metropolitan
Werribee,3,h,430000.0,14.7,3.0,1.0,1.0,454.0,Western Metropolitan
Templestowe Lower,4,h,1302000.0,13.8,4.0,2.0,2.0,650.0,Eastern Metropolitan
Mill Park,2,h,428000.0,17.9,2.0,1.0,1.0,389.0,Northern Metropolitan
Murrumbeena,2,h,910500.0,12.1,2.0,1.0,2.0,313.0,Southern Metropolitan
Heidelberg West,1,h,636000.0,9.4,1.0,1.0,1.0,588.0,Eastern Metropolitan
Bentleigh,6,h,1900000.0,13.0,6.0,3.0,2.0,708.0,Southern Metropolitan
Richmond,3,h,1205000.0,2.6,3.0,1.0,0.0,164.0,Northern Metropolitan
Clifton Hill,2,h,1105000.0,3.4,2.0,1.0,1.0,185.0,Northern Metropolitan
Carnegie,2,u,465000.0,11.4,2.0,1.0,1.0,0.0,Southern Metropolitan
Greensborough,4,h,950000.0,16.1,4.0,2.0,3.0,795.0,Northern Metropolitan
Bentleigh East,1,u,370000.0,13.9,1.0,1.0,1.0,0.0,Southern Metropolitan
Glen Waverley,4,h,1631888.0,16.7,4.0,2.0,2.0,740.0,Eastern Metropolitan
Clayton South,3,h,985000.0,17.5,3.0,1.0,2.0,674.0,South-Eastern Metropolitan
Narre Warren,3,h,655000.0,34.1,3.0,2.0,2.0,731.0,South-Eastern Metropolitan
Reservoir,3,h,730000.0,11.2,2.0,1.0,1.0,546.0,Northern Metropolitan
Reservoir,4,h,1190000.0,12.0,4.0,2.0,3.0,650.0,Northern Metropolitan
North Melbourne,2,u,585000.0,2.3,2.0,1.0,1.0,0.0,Northern Metropolitan
Moorabbin,2,u,655000.0,14.6,2.0,1.0,1.0,1202.0,Southern Metropolitan
Preston,4,h,750000.0,8.8,3.0,2.0,2.0,500.0,Northern Metropolitan
Brunswick East,3,h,1335000.0,4.5,3.0,1.0,2.0,308.0,Northern Metropolitan
West Footscray,2,h,888000.0,8.2,2.0,1.0,2.0,401.0,Western Metropolitan
Yarraville,2,h,1044000.0,6.3,2.0,1.0,0.0,197.0,Western Metropolitan
Dallas,3,h,459000.0,14.0,3.0,1.0,0.0,583.0,Northern Metropolitan
Moonee Ponds,4,h,1530000.0,6.9,3.0,2.0,1.0,431.0,Western Metropolitan
Port Melbourne,2,h,880000.0,3.8,2.0,1.0,2.0,163.0,Southern Metropolitan
Brunswick,4,h,1320000.0,5.2,4.0,2.0,1.0,281.0,Northern Metropolitan
Ascot Vale,3,t,1200000.0,4.3,3.0,2.0,2.0,198.0,Western Metropolitan
Pascoe Vale,3,h,690000.0,9.9,3.0,1.0,1.0,507.0,Northern Metropolitan
Box Hill,3,h,1525000.0,10.9,3.0,1.0,1.0,904.0,Eastern Metropolitan
Abbotsford,2,u,550000.0,3.0,2.0,1.0,1.0,1521.0,Northern Metropolitan
Kensington,3,h,1010000.0,4.2,3.0,1.0,0.0,234.0,Northern Metropolitan
Caulfield,2,u,650000.0,8.7,2.0,2.0,1.0,0.0,Southern Metropolitan
Hawthorn East,2,u,532000.0,7.5,2.0,1.0,1.0,0.0,Southern Metropolitan
Fitzroy North,1,h,899000.0,3.5,2.0,1.0,0.0,153.0,Northern Metropolitan
Moonee Ponds,3,h,1250000.0,6.9,3.0,2.0,1.0,283.0,Western Metropolitan
Maribyrnong,2,u,400000.0,8.7,2.0,1.0,2.0,3967.0,Western Metropolitan
Hawthorn East,4,h,2920000.0,7.5,4.0,3.0,3.0,726.0,Southern Metropolitan
Bentleigh,4,h,1895000.0,11.4,4.0,2.0,2.0,557.0,Southern Metropolitan
Watsonia North,4,h,755000.0,14.5,4.0,1.0,2.0,613.0,Northern Metropolitan
Thornbury,2,t,960000.0,6.5,2.0,2.0,2.0,158.0,Northern Metropolitan
Coburg,3,h,1010000.0,7.8,3.0,2.0,1.0,278.0,Northern Metropolitan
Brunswick,3,h,740000.0,5.2,3.0,2.0,1.0,4676.0,Northern Metropolitan
South Yarra,1,u,320000.0,3.3,1.0,1.0,0.0,0.0,Southern Metropolitan
Hawthorn East,3,h,2680000.0,6.2,3.0,2.0,4.0,522.0,Southern Metropolitan
Bulleen,4,h,1475000.0,11.8,4.0,2.0,2.0,617.0,Eastern Metropolitan
Kensington,2,u,528000.0,4.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Burwood,5,h,1410000.0,11.7,5.0,2.0,1.0,824.0,Southern Metropolitan
Camberwell,4,h,2990000.0,7.8,4.0,2.0,2.0,742.0,Southern Metropolitan
Coburg,4,h,990000.0,7.8,4.0,1.0,1.0,488.0,Northern Metropolitan
Mooroolbark,4,h,651000.0,26.5,4.0,2.0,2.0,854.0,Eastern Victoria
Flemington,4,h,1700000.0,4.4,4.0,1.0,1.0,616.0,Northern Metropolitan
Eltham North,3,h,900000.0,18.0,3.0,2.0,2.0,812.0,Eastern Metropolitan
Essendon,2,u,702500.0,8.0,2.0,1.0,1.0,168.0,Western Metropolitan
Hampton East,3,t,1150000.0,14.5,3.0,2.0,1.0,0.0,Southern Metropolitan
St Kilda,4,h,2000000.0,6.1,4.0,2.0,3.0,420.0,Southern Metropolitan
Fawkner,1,u,288000.0,12.4,1.0,1.0,1.0,69.0,Northern Metropolitan
Heidelberg Heights,2,t,650000.0,8.8,2.0,1.0,1.0,140.0,Eastern Metropolitan
Cremorne,2,h,930000.0,2.5,2.0,1.0,1.0,125.0,Northern Metropolitan
Altona North,3,h,870000.0,9.4,3.0,1.0,4.0,559.0,Western Metropolitan
Caulfield South,2,h,1262000.0,9.3,4.0,2.0,2.0,464.0,Southern Metropolitan
Albert Park,5,h,2100000.0,3.3,5.0,2.0,1.0,237.0,Southern Metropolitan
Thornbury,3,h,1080000.0,6.5,3.0,1.0,1.0,408.0,Northern Metropolitan
Heidelberg West,2,h,450000.0,9.4,2.0,1.0,2.0,418.0,Eastern Metropolitan
Preston,3,h,990000.0,8.4,3.0,1.0,1.0,545.0,Northern Metropolitan
Brunswick East,4,h,856000.0,4.5,4.0,2.0,2.0,136.0,Northern Metropolitan
Keilor East,3,h,757000.0,12.8,3.0,2.0,1.0,532.0,Western Metropolitan
Essendon,3,h,1500000.0,7.5,3.0,1.0,2.0,649.0,Western Metropolitan
Ascot Vale,6,h,2425000.0,5.9,6.0,3.0,2.0,1014.0,Western Metropolitan
Bentleigh East,2,u,655000.0,13.9,2.0,1.0,1.0,154.0,Southern Metropolitan
Northcote,2,u,600000.0,5.5,2.0,1.0,1.0,671.0,Northern Metropolitan
Port Melbourne,1,u,456000.0,3.8,1.0,1.0,1.0,0.0,Southern Metropolitan
Richmond,3,h,1695000.0,2.6,3.0,1.0,3.0,210.0,Northern Metropolitan
Seaford,3,h,782500.0,35.4,3.0,2.0,2.0,603.0,South-Eastern Metropolitan
Footscray,4,h,1290000.0,6.4,3.0,1.0,2.0,411.0,Western Metropolitan
Airport West,4,t,950000.0,10.4,4.0,2.0,1.0,255.0,Western Metropolitan
Sunshine,2,u,260000.0,12.6,2.0,1.0,1.0,79.0,Western Metropolitan
Essendon North,1,u,260000.0,9.4,1.0,1.0,1.0,0.0,Western Metropolitan
Fitzroy North,2,h,1520000.0,3.5,2.0,1.0,0.0,138.0,Northern Metropolitan
Brunswick West,2,u,407500.0,5.9,2.0,1.0,1.0,1097.0,Northern Metropolitan
Coburg North,4,h,1011000.0,6.7,4.0,2.0,2.0,500.0,Northern Metropolitan
Hawthorn,4,h,2010000.0,5.3,4.0,3.0,3.0,451.0,Southern Metropolitan
Carnegie,2,u,601000.0,11.4,2.0,1.0,1.0,132.0,Southern Metropolitan
Northcote,4,h,1822000.0,5.5,4.0,1.0,8.0,728.0,Northern Metropolitan
West Footscray,1,u,241000.0,8.2,1.0,1.0,1.0,0.0,Western Metropolitan
Seaford,3,h,725000.0,35.4,3.0,1.0,1.0,769.0,South-Eastern Metropolitan
Bentleigh,4,h,1260000.0,13.0,4.0,2.0,2.0,793.0,Southern Metropolitan
Kingsville,1,u,216000.0,6.4,1.0,1.0,1.0,0.0,Western Metropolitan
Heidelberg West,3,h,575500.0,8.8,3.0,1.0,1.0,436.0,Eastern Metropolitan
Bellfield,2,h,736500.0,8.8,2.0,1.0,1.0,271.0,Eastern Metropolitan
Ivanhoe,3,h,1851000.0,7.9,3.0,2.0,2.0,618.0,Eastern Metropolitan
Doncaster,5,h,1400000.0,13.9,5.0,3.0,2.0,656.0,Eastern Metropolitan
Surrey Hills,4,h,1750000.0,11.2,4.0,2.0,3.0,817.0,Southern Metropolitan
Prahran,2,h,1021000.0,4.5,2.0,1.0,1.0,175.0,Southern Metropolitan
Glenroy,2,u,250000.0,13.0,2.0,1.0,1.0,0.0,Northern Metropolitan
Richmond,2,u,890500.0,2.4,2.0,2.0,2.0,180.0,Northern Metropolitan
Gladstone Park,3,h,627000.0,12.9,3.0,1.0,2.0,573.0,Western Metropolitan
South Yarra,3,t,1715000.0,3.3,2.0,2.0,2.0,0.0,Southern Metropolitan
Ivanhoe East,2,u,485000.0,9.0,2.0,1.0,1.0,0.0,Eastern Metropolitan
Werribee,2,h,335000.0,14.7,2.0,1.0,1.0,190.0,Western Metropolitan
Noble Park,3,h,650000.0,22.7,3.0,1.0,1.0,603.0,South-Eastern Metropolitan
Dingley Village,4,h,915000.0,22.2,4.0,2.0,2.0,649.0,South-Eastern Metropolitan
Gowanbrae,4,h,740000.0,13.6,4.0,2.0,2.0,453.0,Western Metropolitan
Windsor,2,u,600000.0,5.1,2.0,1.0,1.0,0.0,Southern Metropolitan
Southbank,2,u,595000.0,1.2,2.0,1.0,1.0,0.0,Southern Metropolitan
Ascot Vale,3,h,1255000.0,5.9,3.0,2.0,2.0,308.0,Western Metropolitan
Thornbury,2,h,900000.0,6.5,2.0,1.0,1.0,497.0,Northern Metropolitan
South Yarra,1,u,955000.0,3.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Carnegie,4,h,1830000.0,11.4,3.0,2.0,2.0,687.0,Southern Metropolitan
Murrumbeena,2,u,602000.0,10.1,2.0,1.0,1.0,1166.0,Southern Metropolitan
Frankston,3,h,700000.0,38.0,3.0,1.0,2.0,593.0,South-Eastern Metropolitan
Kingsville,4,h,1275000.0,7.8,4.0,2.0,1.0,274.0,Western Metropolitan
West Footscray,3,h,1061000.0,8.2,3.0,1.0,1.0,533.0,Western Metropolitan
Mordialloc,4,h,1800000.0,21.5,4.0,2.0,2.0,656.0,South-Eastern Metropolitan
Ascot Vale,3,h,1230000.0,5.9,4.0,1.0,2.0,594.0,Western Metropolitan
Aspendale Gardens,3,h,870000.0,21.5,3.0,2.0,2.0,587.0,South-Eastern Metropolitan
Caulfield South,2,h,997000.0,9.3,2.0,1.0,2.0,311.0,Southern Metropolitan
East Melbourne,3,h,1875000.0,1.3,3.0,1.0,0.0,118.0,Northern Metropolitan
Avondale Heights,3,u,622000.0,9.5,3.0,1.0,1.0,204.0,Western Metropolitan
Heidelberg,3,h,850000.0,10.6,3.0,2.0,2.0,285.0,Eastern Metropolitan
Altona North,4,h,1030000.0,9.4,4.0,3.0,2.0,533.0,Western Metropolitan
Pascoe Vale,2,h,525500.0,9.9,2.0,1.0,1.0,111.0,Northern Metropolitan
Rowville,3,h,735000.0,23.5,3.0,2.0,1.0,721.0,South-Eastern Metropolitan
