Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize
Braybrook,3,t,505000.0,10.8,3.0,2.0,2.0,4931.0
Sunbury,3,h,755000.0,31.7,3.0,1.0,2.0,1011.0
Fitzroy,3,h,1250000.0,1.6,3.0,1.0,1.0,113.0
Seddon,3,h,990000.0,6.6,3.0,1.0,0.0,371.0
Ascot Vale,3,h,1377000.0,5.9,3.0,1.0,1.0,417.0
Reservoir,2,u,323000.0,11.2,2.0,1.0,1.0,0.0
Preston,3,h,810000.0,8.8,3.0,1.0,1.0,520.0
Bentleigh East,5,h,950000.0,13.9,5.0,2.0,4.0,618.0
Bentleigh,3,h,1350000.0,13.0,3.0,1.0,1.0,617.0
Ringwood,3,h,800000.0,19.9,3.0,1.0,1.0,737.0
Ascot Vale,3,h,1375000.0,4.3,3.0,1.0,2.0,483.0
Black Rock,4,h,1950000.0,17.3,4.0,3.0,2.0,665.0
Preston,2,u,530000.0,8.8,2.0,1.0,1.0,106.0
Templestowe Lower,4,h,903000.0,13.8,4.0,1.0,2.0,618.0
Carnegie,4,h,1506000.0,11.4,4.0,2.0,2.0,561.0
Melbourne,1,u,333000.0,2.8,1.0,1.0,0.0,0.0
Toorak,4,h,4000000.0,4.6,4.0,2.0,2.0,684.0
Maribyrnong,2,t,479000.0,8.7,2.0,2.0,1.0,0.0
Seddon,2,u,533000.0,6.6,2.0,1.0,1.0,0.0
Pascoe Vale,3,h,612500.0,9.9,3.0,1.0,1.0,522.0
Niddrie,4,h,1350000.0,11.2,4.0,3.0,2.0,747.0
Ascot Vale,2,u,685000.0,5.9,2.0,1.0,2.0,228.0
Fawkner,5,h,1018000.0,13.1,5.0,2.0,2.0,737.0
Malvern East,3,h,1782500.0,11.2,3.0,1.0,2.0,615.0
Craigieburn,4,h,735000.0,20.6,4.0,2.0,2.0,771.0
South Yarra,1,u,510000.0,3.3,1.0,1.0,1.0,0.0
Albion,4,h,660000.0,13.9,4.0,1.0,1.0,697.0
Broadmeadows,3,h,632000.0,14.0,3.0,1.0,4.0,697.0
South Yarra,1,u,310000.0,3.3,1.0,1.0,1.0,0.0
St Kilda,2,u,500000.0,6.1,2.0,1.0,1.0,5530.0
Footscray,2,u,370000.0,6.4,2.0,1.0,1.0,0.0
Essendon,5,h,2800000.0,8.0,5.0,4.0,6.0,877.0
Ivanhoe,2,h,1320000.0,7.8,2.0,1.0,0.0,620.0
Northcote,4,h,1900000.0,5.5,3.0,2.0,1.0,537.0
Essendon West,3,h,685000.0,9.8,3.0,1.0,2.0,293.0
Richmond,3,h,1100000.0,2.6,3.0,2.0,1.0,66.0
Balwyn North,5,h,3000000.0,9.7,5.0,4.0,2.0,830.0
Donvale,3,t,920000.0,16.1,3.0,2.0,2.0,239.0
Brunswick West,1,u,285000.0,5.9,1.0,1.0,1.0,0.0
Keilor East,3,h,900000.0,12.8,3.0,1.0,2.0,600.0
Kingsbury,3,u,488000.0,12.4,3.0,1.0,1.0,260.0
Toorak,3,t,2700000.0,4.6,3.0,2.0,2.0,294.0
Richmond,2,h,1220000.0,2.6,2.0,1.0,1.0,80.0
Vermont,5,h,1150000.0,17.2,5.0,2.0,2.0,599.0
Prahran,2,u,685000.0,4.5,2.0,1.0,1.0,8220.0
Cheltenham,3,h,975000.0,17.9,3.0,2.0,2.0,595.0
Carnegie,1,u,345000.0,11.4,1.0,1.0,1.0,0.0
Hawthorn,2,h,1682000.0,5.3,2.0,1.0,1.0,264.0
Richmond,2,h,1125000.0,2.6,2.0,1.0,0.0,103.0
Altona North,3,h,720000.0,11.1,3.0,2.0,1.0,0.0
Epping,3,h,556000.0,19.6,3.0,1.0,1.0,525.0
Brighton East,4,h,2150000.0,10.7,4.0,3.0,2.0,614.0
Windsor,1,u,372000.0,5.1,1.0,1.0,1.0,0.0
Heidelberg Heights,3,h,1100000.0,10.5,3.0,1.0,0.0,613.0
Glen Iris,2,u,480000.0,9.2,2.0,1.0,1.0,0.0
Flemington,3,h,1205000.0,4.4,3.0,1.0,0.0,251.0
Fitzroy,2,h,1350000.0,1.6,2.0,1.0,0.0,131.0
Kew East,3,h,1750000.0,7.5,3.0,2.0,4.0,611.0
Footscray,2,h,752000.0,6.4,2.0,1.0,0.0,215.0
Vermont South,5,h,1360000.0,17.2,5.0,3.0,2.0,882.0
Essendon,3,h,1505000.0,8.0,3.0,2.0,2.0,625.0
Keilor East,3,t,705000.0,12.8,3.0,2.0,1.0,440.0
Melbourne,2,u,390000.0,2.8,2.0,1.0,1.0,1751.0
Endeavour Hills,3,h,580000.0,28.5,3.0,1.0,8.0,665.0
Templestowe,4,h,1860000.0,15.5,4.0,3.0,3.0,682.0
Seddon,3,h,1315000.0,5.1,4.0,3.0,2.0,122.0
Keilor East,3,h,823000.0,12.8,3.0,1.0,2.0,538.0
Bentleigh,3,t,1435000.0,11.4,3.0,3.0,2.0,307.0
Elwood,2,u,660000.0,7.7,2.0,2.0,1.0,317.0
Brunswick West,4,h,1325000.0,5.2,4.0,1.0,0.0,465.0
Montmorency,3,h,960000.0,16.2,3.0,1.0,1.0,1285.0
Oakleigh,3,h,1225000.0,14.0,3.0,1.0,2.0,528.0
Malvern East,3,h,2265000.0,8.4,3.0,2.0,2.0,531.0
Heidelberg,2,t,600000.0,10.6,2.0,1.0,2.0,145.0
Princes Hill,2,h,1625000.0,3.5,2.0,1.0,1.0,253.0
Carnegie,4,h,1501000.0,11.4,3.0,2.0,1.0,598.0
Brunswick East,2,u,656000.0,4.5,2.0,1.0,1.0,0.0
Malvern East,1,u,267500.0,11.2,1.0,1.0,1.0,2410.0
Noble Park,3,h,752000.0,22.7,3.0,2.0,2.0,667.0
Moonee Ponds,4,h,1225000.0,6.9,4.0,1.0,1.0,388.0
Eaglemont,3,h,1925000.0,8.9,3.0,2.0,2.0,780.0
Reservoir,3,h,723000.0,11.2,3.0,1.0,1.0,535.0
Vermont,3,t,820000.0,17.2,3.0,2.0,2.0,277.0
Brunswick,3,h,1150000.0,5.2,3.0,1.0,1.0,360.0
Prahran,3,u,1400000.0,4.5,3.0,2.0,2.0,0.0
Newport,3,t,962000.0,8.4,3.0,2.0,2.0,283.0
Hawthorn,3,h,1460000.0,5.3,3.0,1.0,1.0,259.0
Yarraville,3,h,950000.0,7.0,3.0,1.0,2.0,240.0
Surrey Hills,3,h,2100000.0,10.2,3.0,1.0,9.0,841.0
Pascoe Vale,2,t,610000.0,9.9,2.0,1.0,1.0,169.0
Malvern,4,h,2400000.0,7.4,4.0,2.0,2.0,586.0
Niddrie,3,u,600000.0,11.2,3.0,2.0,1.0,164.0
Brighton,4,h,3225000.0,10.5,4.0,3.0,3.0,803.0
Yarraville,1,u,345000.0,7.0,1.0,1.0,1.0,0.0
Thornbury,2,h,740000.0,6.5,3.0,1.0,2.0,467.0
Brighton East,3,h,1500000.0,10.7,3.0,2.0,2.0,315.0
Greenvale,5,h,750000.0,20.4,5.0,2.0,2.0,877.0
Surrey Hills,3,h,1715000.0,10.2,3.0,1.0,2.0,438.0
Hampton East,2,u,472000.0,14.5,2.0,1.0,1.0,215.0
Prahran,2,h,1365000.0,4.6,2.0,1.0,,206.0
Ivanhoe,2,u,440000.0,7.9,2.0,1.0,0.0,0.0
Brunswick West,2,u,370000.0,5.9,2.0,1.0,1.0,0.0
Ascot Vale,2,h,1005000.0,5.9,2.0,1.0,1.0,202.0
Collingwood,2,u,800000.0,1.6,2.0,1.0,1.0,0.0
Carnegie,2,u,680000.0,10.1,2.0,1.0,1.0,145.0
Canterbury,3,t,1381000.0,8.4,3.0,2.0,2.0,230.0
Bentleigh,2,u,420000.0,11.4,2.0,1.0,1.0,0.0
Hawthorn,2,u,560000.0,4.6,2.0,1.0,0.0,0.0
Hampton,4,h,1740000.0,13.7,4.0,3.0,2.0,414.0
Carnegie,4,h,1966000.0,10.1,4.0,2.0,2.0,627.0
Keilor East,3,h,600000.0,12.8,3.0,1.0,1.0,565.0
Pascoe Vale,4,h,820000.0,9.9,4.0,1.0,1.0,420.0
Seaford,4,h,795000.0,35.4,4.0,2.0,2.0,631.0
Eaglemont,4,h,2309000.0,10.3,4.0,3.0,2.0,1177.0
Dandenong,4,h,583000.0,24.7,4.0,1.0,2.0,757.0
Rosanna,3,h,860000.0,11.4,3.0,1.0,2.0,583.0
Pascoe Vale,4,h,975000.0,9.9,4.0,1.0,1.0,733.0
Brighton,3,h,1385000.0,11.2,3.0,1.0,2.0,426.0
Richmond,2,t,1090000.0,2.6,2.0,2.0,1.0,0.0
Brunswick East,2,h,1265000.0,4.0,2.0,1.0,3.0,439.0
Kew East,5,h,1850000.0,7.5,5.0,3.0,4.0,787.0
Northcote,2,h,890000.0,5.5,2.0,1.0,1.0,225.0
Brighton East,1,u,340000.0,10.7,1.0,1.0,1.0,0.0
Carlton,1,u,350000.0,1.6,1.0,1.0,1.0,0.0
Brunswick West,2,t,598000.0,5.9,2.0,1.0,1.0,69.0
Williamstown,3,h,1200000.0,6.8,3.0,2.0,0.0,159.0
Brunswick,3,t,981000.0,5.2,3.0,2.0,1.0,122.0
Middle Park,3,h,1850000.0,3.0,3.0,2.0,1.0,321.0
Ashburton,3,h,1555000.0,10.2,3.0,1.0,4.0,649.0
Niddrie,3,t,830000.0,11.2,3.0,3.0,2.0,303.0
Malvern East,4,h,1350000.0,11.2,4.0,3.0,2.0,222.0
Altona North,3,h,988000.0,11.1,3.0,1.0,4.0,715.0
Maidstone,3,u,520000.0,9.2,3.0,2.0,2.0,184.0
Melbourne,2,u,671000.0,2.8,2.0,1.0,1.0,0.0
Glen Iris,4,h,1900000.0,9.2,4.0,4.0,2.0,708.0
West Footscray,3,h,850000.0,8.2,3.0,1.0,1.0,361.0
Dandenong North,4,h,614000.0,24.7,4.0,2.0,2.0,680.0
Aberfeldie,3,h,1195000.0,7.5,3.0,2.0,2.0,381.0
Elsternwick,4,h,1100000.0,8.5,4.0,2.0,0.0,147.0
Werribee,3,h,430000.0,14.7,3.0,1.0,1.0,454.0
Templestowe Lower,4,h,1302000.0,13.8,4.0,2.0,2.0,650.0
Mill Park,2,h,428000.0,17.9,2.0,1.0,1.0,389.0
Murrumbeena,2,h,910500.0,12.1,2.0,1.0,2.0,313.0
Heidelberg West,1,h,636000.0,9.4,1.0,1.0,1.0,588.0
Bentleigh,6,h,1900000.0,13.0,6.0,3.0,2.0,708.0
Richmond,3,h,1205000.0,2.6,3.0,1.0,0.0,164.0
Clifton Hill,2,h,1105000.0,3.4,2.0,1.0,1.0,185.0
Carnegie,2,u,465000.0,11.4,2.0,1.0,1.0,0.0
Greensborough,4,h,950000.0,16.1,4.0,2.0,3.0,795.0
Bentleigh East,1,u,370000.0,13.9,1.0,1.0,1.0,0.0
Glen Waverley,4,h,1631888.0,16.7,4.0,2.0,2.0,740.0
Clayton South,3,h,985000.0,17.5,3.0,1.0,2.0,674.0
Narre Warren,3,h,655000.0,34.1,3.0,2.0,2.0,731.0
Reservoir,3,h,730000.0,11.2,2.0,1.0,1.0,546.0
Reservoir,4,h,1190000.0,12.0,4.0,2.0,3.0,650.0
North Melbourne,2,u,585000.0,2.3,2.0,1.0,1.0,0.0
Moorabbin,2,u,655000.0,14.6,2.0,1.0,1.0,1202.0
Preston,4,h,750000.0,8.8,3.0,2.0,2.0,500.0
Brunswick East,3,h,1335000.0,4.5,3.0,1.0,2.0,308.0
West Footscray,2,h,888000.0,8.2,2.0,1.0,2.0,401.0
Yarraville,2,h,1044000.0,6.3,2.0,1.0,0.0,197.0
Dallas,3,h,459000.0,14.0,3.0,1.0,0.0,583.0
Moonee Ponds,4,h,1530000.0,6.9,3.0,2.0,1.0,431.0
Port Melbourne,2,h,880000.0,3.8,2.0,1.0,2.0,163.0
Brunswick,4,h,1320000.0,5.2,4.0,2.0,1.0,281.0
Ascot Vale,3,t,1200000.0,4.3,3.0,2.0,2.0,198.0
Pascoe Vale,3,h,690000.0,9.9,3.0,1.0,1.0,507.0
Box Hill,3,h,1525000.0,10.9,3.0,1.0,1.0,904.0
Abbotsford,2,u,550000.0,3.0,2.0,1.0,1.0,1521.0
Kensington,3,h,1010000.0,4.2,3.0,1.0,0.0,234.0
Caulfield,2,u,650000.0,8.7,2.0,2.0,1.0,0.0
Hawthorn East,2,u,532000.0,7.5,2.0,1.0,1.0,0.0
Fitzroy North,1,h,899000.0,3.5,2.0,1.0,0.0,153.0
Moonee Ponds,3,h,1250000.0,6.9,3.0,2.0,1.0,283.0
Maribyrnong,2,u,400000.0,8.7,2.0,1.0,2.0,3967.0
Hawthorn East,4,h,2920000.0,7.5,4.0,3.0,3.0,726.0
Bentleigh,4,h,1895000.0,11.4,4.0,2.0,2.0,557.0
Watsonia North,4,h,755000.0,14.5,4.0,1.0,2.0,613.0
Thornbury,2,t,960000.0,6.5,2.0,2.0,2.0,158.0
Coburg,3,h,1010000.0,7.8,3.0,2.0,1.0,278.0
Brunswick,3,h,740000.0,5.2,3.0,2.0,1.0,4676.0
South Yarra,1,u,320000.0,3.3,1.0,1.0,0.0,0.0
Hawthorn East,3,h,2680000.0,6.2,3.0,2.0,4.0,522.0
Bulleen,4,h,1475000.0,11.8,4.0,2.0,2.0,617.0
Kensington,2,u,528000.0,4.2,2.0,1.0,1.0,0.0
Burwood,5,h,1410000.0,11.7,5.0,2.0,1.0,824.0
Camberwell,4,h,2990000.0,7.8,4.0,2.0,2.0,742.0
Coburg,4,h,990000.0,7.8,4.0,1.0,1.0,488.0
Mooroolbark,4,h,651000.0,26.5,4.0,2.0,2.0,854.0
Flemington,4,h,1700000.0,4.4,4.0,1.0,1.0,616.0
Eltham North,3,h,900000.0,18.0,3.0,2.0,2.0,812.0
Essendon,2,u,702500.0,8.0,2.0,1.0,1.0,168.0
Hampton East,3,t,1150000.0,14.5,3.0,2.0,1.0,0.0
St Kilda,4,h,2000000.0,6.1,4.0,2.0,3.0,420.0
Fawkner,1,u,288000.0,12.4,1.0,1.0,1.0,69.0
Heidelberg Heights,2,t,650000.0,8.8,2.0,1.0,1.0,140.0
Cremorne,2,h,930000.0,2.5,2.0,1.0,1.0,125.0
Altona North,3,h,870000.0,9.4,3.0,1.0,4.0,559.0
Caulfield South,2,h,1262000.0,9.3,4.0,2.0,2.0,464.0
Albert Park,5,h,2100000.0,3.3,5.0,2.0,1.0,237.0
Thornbury,3,h,1080000.0,6.5,3.0,1.0,1.0,408.0
Heidelberg West,2,h,450000.0,9.4,2.0,1.0,2.0,418.0
Preston,3,h,990000.0,8.4,3.0,1.0,1.0,545.0
Brunswick East,4,h,856000.0,4.5,4.0,2.0,2.0,136.0
Keilor East,3,h,757000.0,12.8,3.0,2.0,1.0,532.0
Essendon,3,h,1500000.0,7.5,3.0,1.0,2.0,649.0
Ascot Vale,6,h,2425000.0,5.9,6.0,3.0,2.0,1014.0
Bentleigh East,2,u,655000.0,13.9,2.0,1.0,1.0,154.0
Northcote,2,u,600000.0,5.5,2.0,1.0,1.0,671.0
Port Melbourne,1,u,456000.0,3.8,1.0,1.0,1.0,0.0
Richmond,3,h,1695000.0,2.6,3.0,1.0,3.0,210.0
Seaford,3,h,782500.0,35.4,3.0,2.0,2.0,603.0
Footscray,4,h,1290000.0,6.4,3.0,1.0,2.0,411.0
Airport West,4,t,950000.0,10.4,4.0,2.0,1.0,255.0
Sunshine,2,u,260000.0,12.6,2.0,1.0,1.0,79.0
Essendon North,1,u,260000.0,9.4,1.0,1.0,1.0,0.0
Fitzroy North,2,h,1520000.0,3.5,2.0,1.0,0.0,138.0
Brunswick West,2,u,407500.0,5.9,2.0,1.0,1.0,1097.0
Coburg North,4,h,1011000.0,6.7,4.0,2.0,2.0,500.0
Hawthorn,4,h,2010000.0,5.3,4.0,3.0,3.0,451.0
Carnegie,2,u,601000.0,11.4,2.0,1.0,1.0,132.0
Northcote,4,h,1822000.0,5.5,4.0,1.0,8.0,728.0
West Footscray,1,u,241000.0,8.2,1.0,1.0,1.0,0.0
Seaford,3,h,725000.0,35.4,3.0,1.0,1.0,769.0
Bentleigh,4,h,1260000.0,13.0,4.0,2.0,2.0,793.0
Kingsville,1,u,216000.0,6.4,1.0,1.0,1.0,0.0
Heidelberg West,3,h,575500.0,8.8,3.0,1.0,1.0,436.0
Bellfield,2,h,736500.0,8.8,2.0,1.0,1.0,271.0
Ivanhoe,3,h,1851000.0,7.9,3.0,2.0,2.0,618.0
Doncaster,5,h,1400000.0,13.9,5.0,3.0,2.0,656.0
Surrey Hills,4,h,1750000.0,11.2,4.0,2.0,3.0,817.0
Prahran,2,h,1021000.0,4.5,2.0,1.0,1.0,175.0
Glenroy,2,u,250000.0,13.0,2.0,1.0,1.0,0.0
Richmond,2,u,890500.0,2.4,2.0,2.0,2.0,180.0
Gladstone Park,3,h,627000.0,12.9,3.0,1.0,2.0,573.0
South Yarra,3,t,1715000.0,3.3,2.0,2.0,2.0,0.0
Ivanhoe East,2,u,485000.0,9.0,2.0,1.0,1.0,0.0
Werribee,2,h,335000.0,14.7,2.0,1.0,1.0,190.0
Noble Park,3,h,650000.0,22.7,3.0,1.0,1.0,603.0
Dingley Village,4,h,915000.0,22.2,4.0,2.0,2.0,649.0
Gowanbrae,4,h,740000.0,13.6,4.0,2.0,2.0,453.0
Windsor,2,u,600000.0,5.1,2.0,1.0,1.0,0.0
Southbank,2,u,595000.0,1.2,2.0,1.0,1.0,0.0
Ascot Vale,3,h,1255000.0,5.9,3.0,2.0,2.0,308.0
Thornbury,2,h,900000.0,6.5,2.0,1.0,1.0,497.0
South Yarra,1,u,955000.0,3.3,1.0,1.0,1.0,0.0
Carnegie,4,h,1830000.0,11.4,3.0,2.0,2.0,687.0
Murrumbeena,2,u,602000.0,10.1,2.0,1.0,1.0,1166.0
Frankston,3,h,700000.0,38.0,3.0,1.0,2.0,593.0
Kingsville,4,h,1275000.0,7.8,4.0,2.0,1.0,274.0
West Footscray,3,h,1061000.0,8.2,3.0,1.0,1.0,533.0
Mordialloc,4,h,1800000.0,21.5,4.0,2.0,2.0,656.0
Ascot Vale,3,h,1230000.0,5.9,4.0,1.0,2.0,594.0
Aspendale Gardens,3,h,870000.0,21.5,3.0,2.0,2.0,587.0
Caulfield South,2,h,997000.0,9.3,2.0,1.0,2.0,311.0
East Melbourne,3,h,1875000.0,1.3,3.0,1.0,0.0,118.0
Avondale Heights,3,u,622000.0,9.5,3.0,1.0,1.0,204.0
Heidelberg,3,h,850000.0,10.6,3.0,2.0,2.0,285.0
Altona North,4,h,1030000.0,9.4,4.0,3.0,2.0,533.0
Pascoe Vale,2,h,525500.0,9.9,2.0,1.0,1.0,111.0
Rowville,3,h,735000.0,23.5,3.0,2.0,1.0,721.0
South Yarra,1,u,315000.0,3.3,1.0,1.0,0.0,14500.0
Ferntree Gully,3,h,760000.0,24.8,3.0,1.0,3.0,984.0
Templestowe Lower,3,t,766000.0,13.8,3.0,1.0,1.0,226.0
Elsternwick,3,t,850000.0,8.5,3.0,2.0,2.0,108.0
Kew,2,u,891000.0,5.6,2.0,1.0,1.0,121.0
Mount Waverley,3,h,1260000.0,14.2,3.0,1.0,2.0,743.0
Hampton,4,h,2260000.0,13.8,4.0,2.0,2.0,766.0
Footscray,3,h,853000.0,6.4,3.0,1.0,1.0,0.0
Brunswick,2,h,792000.0,5.2,2.0,1.0,1.0,149.0
Bentleigh East,3,h,1525000.0,13.8,3.0,1.0,3.0,581.0
Moonee Ponds,3,h,1100000.0,6.9,3.0,2.0,1.0,169.0
Ivanhoe,3,u,1110000.0,7.9,3.0,2.0,1.0,366.0
Balaclava,2,u,585000.0,6.4,2.0,1.0,1.0,598.0
Ferntree Gully,4,h,875000.0,24.8,4.0,3.0,4.0,793.0
Sunshine West,3,h,590000.0,13.5,3.0,2.0,4.0,697.0
Hawthorn East,3,t,1590000.0,7.5,3.0,2.0,2.0,289.0
Ivanhoe,2,u,690000.0,7.9,2.0,1.0,1.0,103.0
Brighton,2,h,1601000.0,11.2,2.0,1.0,1.0,380.0
Carnegie,1,u,250000.0,11.4,1.0,1.0,1.0,0.0
Brighton,1,u,495000.0,10.5,1.0,1.0,1.0,0.0
Croydon,3,h,662000.0,23.0,3.0,1.0,1.0,396.0
Niddrie,3,h,1065000.0,11.2,3.0,1.0,2.0,653.0
Highett,3,h,1155000.0,16.0,3.0,2.0,1.0,650.0
St Kilda,2,u,570000.0,6.1,2.0,1.0,1.0,628.0
Reservoir,3,h,715000.0,11.2,3.0,2.0,2.0,251.0
Melbourne,1,u,432000.0,2.8,1.0,1.0,1.0,0.0
Balwyn North,3,h,1590000.0,9.7,3.0,1.0,1.0,697.0
West Footscray,3,t,700000.0,6.4,3.0,2.0,2.0,125.0
Richmond,4,h,1591000.0,2.6,4.0,2.0,1.0,263.0
Brunswick East,4,h,1900000.0,4.5,4.0,2.0,1.0,227.0
Keilor East,2,h,380000.0,12.8,2.0,1.0,1.0,116.0
Reservoir,3,h,857700.0,12.0,3.0,1.0,1.0,325.0
Coburg North,1,h,867000.0,6.7,1.0,1.0,4.0,741.0
Clifton Hill,2,u,885500.0,3.4,2.0,2.0,2.0,0.0
Sunshine,3,h,865000.0,10.5,3.0,1.0,2.0,550.0
Hawthorn,2,u,715000.0,4.6,2.0,1.0,1.0,0.0
Middle Park,3,h,2360000.0,4.1,3.0,1.0,1.0,288.0
Southbank,2,u,505000.0,1.2,2.0,1.0,1.0,0.0
Elsternwick,2,h,1160000.0,8.5,2.0,2.0,2.0,155.0
Yallambie,5,h,1060000.0,15.0,5.0,2.0,2.0,627.0
Seddon,3,h,1310000.0,6.6,3.0,2.0,1.0,229.0
Malvern,2,t,910000.0,5.9,2.0,1.0,2.0,195.0
Brighton East,3,t,972000.0,10.7,3.0,2.0,1.0,119.0
Melton,3,h,480000.0,31.7,3.0,1.0,2.0,900.0
Reservoir,4,h,1005000.0,11.2,4.0,2.0,5.0,768.0
Brunswick West,2,h,573000.0,5.2,2.0,1.0,1.0,0.0
Elwood,1,u,347000.0,7.7,1.0,1.0,1.0,0.0
Preston,2,t,660000.0,8.8,2.0,1.0,1.0,113.0
Bentleigh East,3,h,959000.0,13.9,3.0,2.0,2.0,557.0
Mill Park,3,h,470000.0,17.9,3.0,1.0,1.0,290.0
Elsternwick,4,h,1650000.0,8.5,1.0,3.0,2.0,386.0
Essendon North,4,h,1605000.0,9.4,3.0,2.0,2.0,607.0
Hawthorn,2,u,600000.0,4.6,2.0,1.0,1.0,0.0
Mill Park,5,h,725000.0,17.9,5.0,2.0,2.0,574.0
Richmond,2,u,391000.0,2.6,2.0,1.0,1.0,0.0
Carrum Downs,3,h,480000.0,34.9,3.0,1.0,0.0,528.0
Yarraville,2,u,397000.0,7.0,2.0,1.0,1.0,0.0
Camberwell,3,h,2105000.0,7.8,3.0,1.0,2.0,692.0
Templestowe Lower,3,t,950000.0,13.8,3.0,2.0,2.0,306.0
Prahran,2,u,480000.0,4.5,2.0,1.0,2.0,0.0
Malvern East,3,h,1800000.0,8.4,3.0,2.0,1.0,460.0
Keilor Downs,4,h,590000.0,15.5,4.0,2.0,2.0,757.0
Malvern East,3,t,940000.0,11.2,3.0,2.0,1.0,206.0
Coburg,2,h,850000.0,7.8,2.0,1.0,1.0,371.0
Niddrie,3,t,800000.0,11.2,3.0,2.0,2.0,202.0
Brunswick,2,u,350000.0,5.2,2.0,1.0,1.0,0.0
Reservoir,3,h,876000.0,12.0,3.0,1.0,2.0,653.0
Richmond,2,h,860000.0,2.6,2.0,1.0,0.0,111.0
Travancore,2,u,503000.0,5.3,2.0,1.0,1.0,0.0
Essendon,2,u,580000.0,7.5,2.0,1.0,1.0,921.0
Bentleigh,2,t,680000.0,13.0,2.0,1.0,1.0,83.0
South Yarra,3,u,1320000.0,3.3,3.0,2.0,2.0,15.0
Canterbury,5,h,2550000.0,8.4,5.0,2.0,4.0,692.0
Caroline Springs,3,h,600000.0,14.8,3.0,1.0,3.0,406.0
Glenroy,4,h,780000.0,11.2,4.0,1.0,3.0,697.0
Reservoir,3,h,758000.0,12.0,3.0,1.0,2.0,558.0
Glen Iris,2,h,1500000.0,9.2,3.0,1.0,2.0,660.0
Toorak,3,u,2000000.0,4.1,3.0,2.0,2.0,0.0
Fitzroy,3,h,1326000.0,1.6,3.0,2.0,2.0,718.0
Prahran,4,h,2635000.0,4.6,4.0,2.0,2.0,401.0
Airport West,3,t,700000.0,13.5,3.0,2.0,2.0,239.0
South Yarra,2,u,762500.0,2.7,2.0,1.0,1.0,17200.0
Doncaster,4,h,1401000.0,13.9,4.0,3.0,2.0,650.0
Dingley Village,4,h,1100000.0,22.2,4.0,2.0,2.0,840.0
South Melbourne,3,h,2000000.0,2.1,3.0,2.0,1.0,161.0
Malvern,3,h,2500000.0,5.9,3.0,2.0,,395.0
