Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,label
Glen Waverley,3,h,1900000.0,16.7,3.0,1.0,0.0,738.0,Eastern Metropolitan
Fitzroy,2,u,660000.0,1.6,2.0,2.0,0.0,0.0,Northern Metropolitan
Yallambie,3,h,710000.0,15.0,3.0,1.0,1.0,616.0,Northern Metropolitan
South Yarra,2,u,600000.0,2.7,2.0,1.0,1.0,876.0,Southern Metropolitan
Westmeadows,3,h,410000.0,16.5,3.0,1.0,2.0,542.0,Northern Metropolitan
Brunswick,3,h,1037000.0,5.2,3.0,1.0,1.0,210.0,Northern Metropolitan
Camberwell,5,h,2860000.0,7.8,5.0,3.0,4.0,753.0,Southern Metropolitan
Collingwood,2,h,888000.0,1.6,2.0,1.0,0.0,112.0,Northern Metropolitan
Pascoe Vale,3,h,940000.0,8.5,3.0,1.0,2.0,587.0,Northern Metropolitan
Preston,3,h,880000.0,8.4,3.0,1.0,0.0,480.0,Northern Metropolitan
Armadale,2,h,1550000.0,6.3,2.0,1.0,0.0,212.0,Southern Metropolitan
Northcote,2,u,770000.0,5.5,2.0,1.0,1.0,129.0,Northern Metropolitan
Newport,3,h,900000.0,8.4,3.0,2.0,2.0,194.0,Western Metropolitan
Essendon,2,t,595000.0,8.0,2.0,1.0,2.0,752.0,Western Metropolitan
Kew East,4,h,2258000.0,7.3,4.0,1.0,2.0,836.0,Southern Metropolitan
Doncaster,4,h,1250000.0,13.9,4.0,2.0,3.0,767.0,Eastern Metropolitan
Footscray,3,h,740000.0,6.4,3.0,1.0,1.0,211.0,Western Metropolitan
Hawthorn East,1,u,440000.0,7.5,1.0,1.0,1.0,2306.0,Southern Metropolitan
Langwarrin,3,u,447000.0,41.0,3.0,1.0,2.0,230.0,Eastern Victoria
Thornbury,3,h,1300000.0,7.0,3.0,1.0,2.0,531.0,Northern Metropolitan
Mitcham,4,h,1200000.0,17.2,4.0,3.0,2.0,367.0,Eastern Metropolitan
Fitzroy North,4,h,3400000.0,3.5,3.0,2.0,1.0,445.0,Northern Metropolitan
Maidstone,3,h,760000.0,9.2,3.0,1.0,2.0,584.0,Western Metropolitan
Newport,3,h,1220000.0,8.4,3.0,2.0,0.0,311.0,Western Metropolitan
Brunswick West,3,h,1095000.0,5.9,3.0,1.0,1.0,411.0,Northern Metropolitan
Fitzroy,3,h,1250000.0,1.6,3.0,1.0,1.0,113.0,Northern Metropolitan
Hoppers Crossing,3,h,550000.0,18.4,3.0,1.0,2.0,635.0,Western Metropolitan
Thornbury,2,h,874000.0,6.5,2.0,1.0,2.0,333.0,Northern Metropolitan
Thornbury,3,t,998000.0,6.5,3.0,2.0,1.0,0.0,Northern Metropolitan
Surrey Hills,4,h,2550000.0,10.2,4.0,2.0,2.0,861.0,Southern Metropolitan
Melbourne,2,u,733000.0,2.8,2.0,2.0,1.0,0.0,Northern Metropolitan
Burwood,2,h,1322500.0,10.4,2.0,1.0,1.0,731.0,Southern Metropolitan
South Yarra,2,u,850000.0,3.3,2.0,2.0,2.0,0.0,Southern Metropolitan
Camberwell,2,u,682000.0,7.7,2.0,1.0,1.0,1106.0,Southern Metropolitan
Sunshine West,3,h,544500.0,13.5,4.0,2.0,2.0,696.0,Western Metropolitan
South Yarra,1,u,360000.0,3.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Sunshine North,3,h,650000.0,13.3,3.0,1.0,0.0,598.0,Western Metropolitan
Port Melbourne,2,u,1070000.0,3.8,2.0,2.0,1.0,0.0,Southern Metropolitan
Rosanna,3,u,600000.0,11.4,3.0,2.0,2.0,169.0,Eastern Metropolitan
Bentleigh,3,h,1275000.0,13.0,3.0,1.0,4.0,758.0,Southern Metropolitan
Mount Waverley,3,h,1205000.0,14.2,3.0,2.0,2.0,402.0,Eastern Metropolitan
Hampton,4,h,1900000.0,13.8,4.0,3.0,2.0,699.0,Southern Metropolitan
Bentleigh East,3,h,1197000.0,13.9,3.0,1.0,2.0,692.0,Southern Metropolitan
Malvern East,2,t,500000.0,11.2,2.0,1.0,1.0,50.0,Southern Metropolitan
Beaumaris,4,h,1611000.0,17.3,4.0,2.0,2.0,650.0,Southern Metropolitan
Yallambie,4,h,840000.0,15.0,4.0,2.0,2.0,761.0,Northern Metropolitan
Preston,3,h,890000.0,8.8,3.0,1.0,2.0,495.0,Northern Metropolitan
Southbank,2,u,600000.0,0.7,2.0,1.0,1.0,0.0,Southern Metropolitan
Northcote,2,u,420000.0,5.5,2.0,1.0,1.0,1000.0,Northern Metropolitan
Lalor,3,h,700000.0,16.3,3.0,1.0,1.0,537.0,Northern Metropolitan
Clifton Hill,2,u,591000.0,3.6,2.0,1.0,1.0,0.0,Northern Metropolitan
Chadstone,3,t,977500.0,11.7,3.0,3.0,3.0,209.0,Southern Metropolitan
Northcote,3,h,1100000.0,5.3,3.0,1.0,2.0,449.0,Northern Metropolitan
Newport,3,h,828000.0,8.4,3.0,1.0,2.0,459.0,Western Metropolitan
Moonee Ponds,3,h,1170000.0,6.9,3.0,1.0,1.0,443.0,Western Metropolitan
Elwood,1,u,451000.0,7.7,1.0,1.0,1.0,0.0,Southern Metropolitan
Carlton,3,u,860000.0,1.8,2.0,2.0,1.0,0.0,Northern Metropolitan
Altona North,3,h,750000.0,11.1,3.0,1.0,2.0,534.0,Western Metropolitan
Murrumbeena,2,u,490000.0,12.1,2.0,1.0,1.0,0.0,Southern Metropolitan
West Footscray,3,h,991000.0,8.2,3.0,1.0,4.0,495.0,Western Metropolitan
Glenroy,4,h,1025000.0,13.0,4.0,2.0,4.0,1011.0,Northern Metropolitan
Wollert,2,u,390000.0,25.5,2.0,1.0,1.0,197.0,Northern Metropolitan
Glen Iris,3,h,1800000.0,9.2,3.0,1.0,3.0,732.0,Southern Metropolitan
Burwood,4,h,1702000.0,10.4,4.0,1.0,1.0,762.0,Southern Metropolitan
Montmorency,3,t,820000.0,16.2,3.0,2.0,2.0,260.0,Eastern Metropolitan
Windsor,2,u,518000.0,5.1,2.0,1.0,1.0,0.0,Southern Metropolitan
Clayton South,3,h,985000.0,17.5,3.0,1.0,2.0,674.0,South-Eastern Metropolitan
Heidelberg,3,u,690000.0,10.6,3.0,2.0,2.0,4497.0,Eastern Metropolitan
Kingsville,4,h,1275000.0,7.8,4.0,2.0,1.0,274.0,Western Metropolitan
Altona,5,h,1525000.0,13.8,5.0,3.0,3.0,729.0,Western Metropolitan
Rosanna,3,t,990000.0,11.4,3.0,2.0,2.0,276.0,Eastern Metropolitan
Hawthorn,5,h,5510000.0,5.3,5.0,2.0,5.0,820.0,Southern Metropolitan
Lalor,2,h,511500.0,16.3,2.0,1.0,2.0,416.0,Northern Metropolitan
Sunshine West,3,h,488000.0,13.5,3.0,1.0,2.0,538.0,Western Metropolitan
Northcote,3,h,1320000.0,5.3,3.0,1.0,1.0,227.0,Northern Metropolitan
Bellfield,3,h,1006000.0,8.8,3.0,1.0,0.0,758.0,Eastern Metropolitan
Fitzroy,2,h,1315000.0,1.6,2.0,1.0,0.0,141.0,Northern Metropolitan
Aberfeldie,3,h,1210000.0,7.5,3.0,1.0,6.0,645.0,Western Metropolitan
St Kilda,1,u,481000.0,5.0,1.0,1.0,1.0,0.0,Southern Metropolitan
Fitzroy North,3,h,2170000.0,3.5,3.0,2.0,1.0,177.0,Northern Metropolitan
Altona Meadows,4,h,750000.0,15.5,4.0,2.0,2.0,636.0,Western Metropolitan
Werribee,4,h,630000.0,14.7,4.0,2.0,2.0,720.0,Western Metropolitan
Ormond,4,h,1845000.0,11.8,4.0,3.0,1.0,718.0,Southern Metropolitan
Thornbury,1,u,300000.0,6.5,1.0,1.0,1.0,948.0,Northern Metropolitan
Brighton,3,h,2225000.0,11.2,3.0,2.0,2.0,0.0,Southern Metropolitan
Yallambie,5,h,1060000.0,15.0,5.0,2.0,2.0,627.0,Northern Metropolitan
Melbourne,2,u,390000.0,2.8,2.0,1.0,1.0,1751.0,Northern Metropolitan
Jacana,3,h,620500.0,14.0,3.0,1.0,4.0,764.0,Northern Metropolitan
Flemington,2,u,391000.0,4.4,2.0,1.0,1.0,0.0,Northern Metropolitan
Broadmeadows,3,h,637000.0,14.0,3.0,1.0,5.0,670.0,Northern Metropolitan
Doncaster East,4,t,1175000.0,14.3,4.0,2.0,2.0,723.0,Eastern Metropolitan
Essendon,2,u,550000.0,8.0,2.0,1.0,1.0,0.0,Western Metropolitan
Fitzroy North,3,h,1275000.0,3.5,3.0,2.0,1.0,104.0,Northern Metropolitan
Heidelberg,4,h,1430000.0,8.9,4.0,2.0,3.0,680.0,Eastern Metropolitan
Doncaster,5,h,2168000.0,13.9,5.0,5.0,2.0,669.0,Eastern Metropolitan
Bentleigh,3,t,895000.0,13.0,3.0,2.0,2.0,362.0,Southern Metropolitan
Clifton Hill,3,h,1360000.0,3.4,3.0,1.0,0.0,118.0,Northern Metropolitan
Mill Park,3,h,726000.0,17.9,3.0,2.0,2.0,615.0,Northern Metropolitan
Melton South,3,h,341000.0,29.8,3.0,2.0,4.0,578.0,Western Victoria
Brighton East,5,h,2900000.0,10.7,5.0,4.0,2.0,640.0,Southern Metropolitan
Carlton North,2,u,570000.0,3.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Brunswick East,4,h,856000.0,4.5,4.0,2.0,2.0,136.0,Northern Metropolitan
Surrey Hills,4,h,1850000.0,11.2,5.0,2.0,2.0,612.0,Southern Metropolitan
St Kilda,2,h,1316000.0,6.1,2.0,1.0,0.0,215.0,Southern Metropolitan
Thornbury,3,t,910000.0,6.5,3.0,2.0,1.0,0.0,Northern Metropolitan
Prahran,4,h,2635000.0,4.6,4.0,2.0,2.0,401.0,Southern Metropolitan
Heidelberg Heights,2,h,780000.0,8.8,2.0,1.0,1.0,588.0,Eastern Metropolitan
Fitzroy North,3,h,1141000.0,3.5,2.0,1.0,1.0,378.0,Northern Metropolitan
Altona North,3,h,988000.0,11.1,3.0,1.0,4.0,715.0,Western Metropolitan
Airport West,3,h,685000.0,13.5,3.0,1.0,1.0,579.0,Western Metropolitan
Reservoir,2,u,440000.0,11.2,2.0,1.0,2.0,132.0,Northern Metropolitan
Fawkner,3,u,422500.0,12.4,3.0,2.0,1.0,195.0,Northern Metropolitan
Bentleigh East,2,h,1180000.0,13.9,2.0,1.0,1.0,687.0,Southern Metropolitan
Toorak,2,h,3260000.0,4.6,2.0,2.0,2.0,334.0,Southern Metropolitan
Reservoir,3,h,670000.0,12.0,3.0,2.0,1.0,536.0,Northern Metropolitan
St Kilda,2,h,808000.0,6.1,2.0,1.0,0.0,124.0,Southern Metropolitan
Clifton Hill,2,h,1075000.0,3.4,2.0,1.0,1.0,174.0,Northern Metropolitan
Moorabbin,4,h,1200000.0,14.6,4.0,2.0,1.0,696.0,Southern Metropolitan
Maidstone,3,h,721000.0,9.2,2.0,2.0,1.0,239.0,Western Metropolitan
Aberfeldie,4,h,1330000.0,9.1,4.0,2.0,2.0,273.0,Western Metropolitan
Thornbury,3,u,880000.0,6.5,3.0,1.0,2.0,242.0,Northern Metropolitan
Oakleigh South,3,u,815000.0,14.7,3.0,1.0,2.0,393.0,South-Eastern Metropolitan
Sunshine West,3,u,545000.0,13.5,3.0,2.0,1.0,240.0,Western Metropolitan
Canterbury,2,u,736000.0,9.0,2.0,1.0,2.0,132.0,Southern Metropolitan
Brighton,3,h,2020000.0,10.5,3.0,2.0,2.0,369.0,Southern Metropolitan
Craigieburn,3,h,465000.0,20.6,3.0,1.0,1.0,338.0,Northern Metropolitan
Abbotsford,2,h,1180000.0,2.5,2.0,1.0,0.0,162.0,Northern Metropolitan
Burwood East,4,h,1580000.0,14.7,4.0,2.0,2.0,724.0,Eastern Metropolitan
Reservoir,3,h,751000.0,11.2,3.0,1.0,2.0,604.0,Northern Metropolitan
Maribyrnong,3,h,940000.0,8.7,3.0,1.0,1.0,695.0,Western Metropolitan
Keilor Park,2,t,380000.0,14.5,2.0,1.0,1.0,161.0,Western Metropolitan
Armadale,2,t,1200000.0,6.3,2.0,2.0,1.0,189.0,Southern Metropolitan
Brighton East,4,h,1530000.0,10.7,2.0,2.0,1.0,603.0,Southern Metropolitan
St Kilda,3,t,1295000.0,6.1,3.0,2.0,2.0,0.0,Southern Metropolitan
Altona Meadows,3,h,820000.0,15.5,3.0,2.0,2.0,530.0,Western Metropolitan
Carnegie,2,u,680000.0,10.1,2.0,1.0,1.0,145.0,Southern Metropolitan
Braybrook,4,h,850000.0,10.8,4.0,2.0,2.0,606.0,Western Metropolitan
Mitcham,3,h,960000.0,17.2,3.0,1.0,0.0,781.0,Eastern Metropolitan
Beaconsfield,3,u,537000.0,39.0,3.0,1.0,1.0,460.0,Eastern Victoria
Kealba,4,h,590000.0,14.0,4.0,2.0,2.0,617.0,Western Metropolitan
Mill Park,4,h,550000.0,17.9,4.0,2.0,1.0,531.0,Northern Metropolitan
Doncaster,4,h,1460000.0,13.9,4.0,2.0,2.0,840.0,Eastern Metropolitan
Carlton North,4,h,3450000.0,3.2,4.0,2.0,1.0,515.0,Northern Metropolitan
Kew East,4,h,1750000.0,7.3,4.0,2.0,2.0,696.0,Southern Metropolitan
Essendon North,2,u,393000.0,9.4,2.0,1.0,1.0,999.0,Western Metropolitan
Hawthorn,4,h,1650000.0,4.6,4.0,2.0,2.0,317.0,Southern Metropolitan
Carnegie,4,h,1506000.0,11.4,4.0,2.0,2.0,561.0,Southern Metropolitan
Altona,3,h,853000.0,11.0,3.0,1.0,1.0,600.0,Western Metropolitan
South Melbourne,2,u,1050000.0,2.1,2.0,2.0,2.0,0.0,Southern Metropolitan
Carlton,2,u,795000.0,1.8,2.0,2.0,1.0,0.0,Northern Metropolitan
Richmond,2,u,500000.0,2.6,2.0,1.0,1.0,0.0,Northern Metropolitan
Parkville,3,u,1770000.0,1.8,3.0,2.0,1.0,2431.0,Northern Metropolitan
Williamstown,3,h,950000.0,6.8,3.0,1.0,0.0,169.0,Western Metropolitan
Ascot Vale,4,t,900000.0,5.9,4.0,3.0,2.0,0.0,Western Metropolitan
Newport,3,h,988000.0,8.4,3.0,1.0,1.0,450.0,Western Metropolitan
Balwyn North,4,h,2910000.0,9.2,4.0,3.0,2.0,1070.0,Southern Metropolitan
Maidstone,3,h,880000.0,9.2,3.0,1.0,1.0,586.0,Western Metropolitan
South Yarra,1,u,510000.0,3.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Lalor,3,h,487000.0,16.3,3.0,1.0,1.0,533.0,Northern Metropolitan
Montmorency,4,h,1050000.0,16.2,4.0,2.0,1.0,973.0,Eastern Metropolitan
Heidelberg,2,t,738000.0,8.9,2.0,1.0,2.0,154.0,Eastern Metropolitan
Yarraville,3,h,920000.0,6.3,3.0,2.0,2.0,182.0,Western Metropolitan
Hawthorn East,3,h,1575000.0,7.5,3.0,1.0,0.0,305.0,Southern Metropolitan
Brighton,3,h,1502000.0,11.2,3.0,1.0,1.0,431.0,Southern Metropolitan
Elsternwick,2,u,595000.0,8.5,2.0,1.0,1.0,0.0,Southern Metropolitan
Windsor,2,u,520000.0,5.1,2.0,1.0,1.0,0.0,Southern Metropolitan
Pascoe Vale,3,h,721000.0,9.9,3.0,1.0,2.0,542.0,Northern Metropolitan
Altona North,2,t,421000.0,11.1,2.0,1.0,1.0,77.0,Western Metropolitan
Prahran,3,h,1358000.0,4.5,2.0,1.0,1.0,189.0,Southern Metropolitan
Footscray,2,h,716000.0,6.4,2.0,1.0,2.0,274.0,Western Metropolitan
Balwyn,2,u,602000.0,7.9,2.0,1.0,1.0,1129.0,Southern Metropolitan
Avondale Heights,3,h,615000.0,10.5,3.0,1.0,2.0,649.0,Western Metropolitan
Thornbury,3,h,1750000.0,6.5,3.0,1.0,3.0,712.0,Northern Metropolitan
West Footscray,3,h,840000.0,8.2,3.0,1.0,1.0,442.0,Western Metropolitan
Hawthorn,1,u,375000.0,5.3,1.0,1.0,1.0,0.0,Southern Metropolitan
Bulleen,5,h,1730000.0,11.8,5.0,4.0,4.0,564.0,Eastern Metropolitan
Ripponlea,2,h,1005000.0,7.2,2.0,2.0,2.0,290.0,Southern Metropolitan
Essendon,3,h,1425000.0,8.0,3.0,2.0,2.0,684.0,Western Metropolitan
Yarraville,3,h,600000.0,7.0,4.0,1.0,1.0,0.0,Western Metropolitan
Ringwood East,3,h,710000.0,21.3,3.0,1.0,2.0,314.0,Eastern Metropolitan
Fawkner,3,h,670000.0,12.4,3.0,1.0,2.0,585.0,Northern Metropolitan
Hampton,4,t,1910000.0,13.7,4.0,2.0,2.0,351.0,Southern Metropolitan
Essendon West,5,h,2200000.0,7.5,5.0,3.0,2.0,607.0,Western Metropolitan
Seddon,3,h,1330000.0,6.6,3.0,3.0,2.0,168.0,Western Metropolitan
Niddrie,3,t,715000.0,10.4,3.0,1.0,1.0,178.0,Western Metropolitan
Northcote,2,h,1260000.0,5.3,2.0,1.0,1.0,234.0,Northern Metropolitan
Abbotsford,3,h,1375000.0,3.0,3.0,1.0,0.0,299.0,Northern Metropolitan
Camberwell,4,h,2950000.0,7.8,4.0,2.0,4.0,661.0,Southern Metropolitan
Surrey Hills,3,h,1150000.0,11.2,3.0,2.0,1.0,247.0,Southern Metropolitan
Maidstone,2,h,502000.0,9.2,2.0,1.0,1.0,144.0,Western Metropolitan
Werribee,3,h,383000.0,14.7,3.0,1.0,2.0,548.0,Western Metropolitan
Balwyn,5,h,2750000.0,7.9,5.0,5.0,2.0,1235.0,Southern Metropolitan
Yarraville,2,h,890000.0,7.0,3.0,1.0,2.0,471.0,Western Metropolitan
Ascot Vale,3,h,890000.0,5.9,3.0,1.0,1.0,242.0,Western Metropolitan
Nunawading,3,h,1040000.0,15.4,3.0,1.0,1.0,728.0,Eastern Metropolitan
Hadfield,2,t,539000.0,11.2,2.0,2.0,2.0,160.0,Northern Metropolitan
Malvern East,4,h,2800000.0,11.2,4.0,2.0,3.0,809.0,Southern Metropolitan
Murrumbeena,2,h,861500.0,12.1,2.0,2.0,1.0,293.0,Southern Metropolitan
Armadale,2,u,410000.0,6.3,2.0,1.0,0.0,1097.0,Southern Metropolitan
