nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_90534|0.66128017,0.5736,0.33863,toeholds
pre_40_90574|0.727584536,0.5866,0.36249,toeholds
pre_41_90575|0.03096032,0.7827,0.37456,toeholds
pre_42_90576|0.946177363,0.8601000000000001,0.38758,toeholds
pre_43_90577|1.0,0.7074,0.34142,toeholds
pre_44_90578|0.035221381,0.6774,0.3664,toeholds
pre_45_90579|0.8973686540000001,0.6454,0.339,toeholds
pre_46_90580|0.246410895,0.8097,0.42616000000000004,toeholds
pre_47_90581|0.932425132,0.5107999999999999,0.36598,toeholds
pre_48_90582|0.15140642199999998,0.6208,0.38016000000000005,toeholds
pre_49_90583|0.591591863,0.7202999999999999,0.4243,toeholds
pre_50_90584|0.448640579,0.7128,0.38166,toeholds
pre_51_90585|0.40350891299999997,0.7255999999999999,0.29788,toeholds
pre_52_90586|0.288075969,0.6793,0.3881800000000001,toeholds
pre_53_90587|1.0,0.6926,0.37027,toeholds
pre_54_90588|0.436429002,0.7724,0.30784,toeholds
pre_55_90589|0.9395785609999999,0.8140000000000001,0.34894000000000003,toeholds
pre_56_90590|0.9897084209999999,0.5979,0.38737,toeholds
pre_57_90591|0.951214076,0.6241,0.39307000000000003,toeholds
pre_58_90592|0.9905649190000001,1.0953,0.38579,toeholds
pre_59_90593|1.0,0.9726,0.3922,toeholds
pre_60_90594|0.653027144,1.1134,0.45122999999999996,toeholds
pre_61_90595|1.0,0.9763000000000001,0.38330000000000003,toeholds
pre_62_90596|0.33761857799999995,1.0210000000000001,0.42483000000000004,toeholds
pre_63_90597|0.981808872,1.0862,0.36052,toeholds
pre_64_90598|0.94330017,0.4806,0.28048,toeholds
pre_65_90599|1.0,0.5675000000000001,0.33513000000000004,toeholds
pre_66_90600|0.568526153,0.8945000000000001,0.41357999999999995,toeholds
pre_67_90601|0.756255459,0.8996,0.26578999999999997,toeholds
pre_68_90602|0.815246865,0.6697,0.36551,toeholds
pre_69_90603|0.49803499799999995,0.5540999999999999,0.39642,toeholds
pre_70_90604|0.160155634,1.1695000000000002,0.4737199999999999,toeholds
pre_71_90605|0.9900253609999999,0.6496,0.38070000000000004,toeholds
pre_72_90606|0.239256794,1.05,0.42513999999999996,toeholds
pre_73_90607|0.9801353559999999,0.6882,0.32416999999999996,toeholds
pre_74_90608|0.089246022,0.7291000000000001,0.39370000000000005,toeholds
pre_75_90609|0.574175084,1.0486,0.36703,toeholds
pre_76_90610|0.9486292470000001,1.2497,0.41229,toeholds
pre_77_90611|0.5869153770000001,0.6839999999999999,0.38734,toeholds
pre_78_90612|1.0,0.8652,0.38149,toeholds
pre_79_90613|0.604495155,0.6485,0.37525000000000003,toeholds
pre_80_90614|0.5304910420000001,0.7618,0.41093999999999997,toeholds
pre_81_90615|0.167925766,0.7522,0.32212999999999997,toeholds
pre_82_90616|0.672109363,0.48189999999999994,0.29372,toeholds
pre_83_90617|0.5138495270000001,0.7915000000000001,0.41752999999999996,toeholds
pre_84_90618|0.221839486,0.7062999999999999,0.35994,toeholds
pre_85_90619|1.0,0.6267,0.35895,toeholds
pre_86_90620|0.36410569600000003,0.9686000000000001,0.39885000000000004,toeholds
pre_87_90621|0.4320024,1.08,0.4066,toeholds
pre_88_90622|0.074020925,0.7471,0.40497000000000005,toeholds
pre_89_90623|0.770561802,1.0665,0.39782999999999996,toeholds
pre_90_90624|0.97382208,0.5554,0.35914999999999997,toeholds
pre_91_90625|0.817182953,0.5868,0.35739,toeholds
pre_92_90626|0.522405662,0.4742,0.32904999999999995,toeholds
pre_93_90627|0.127350947,0.9431,0.34604,toeholds
pre_94_90628|0.281188932,0.8270000000000001,0.45727,toeholds
pre_95_90629|0.912971215,0.9841000000000001,0.39083,toeholds
pre_96_90630|0.856154827,1.1321,0.40725,toeholds
pre_97_90631|0.447662034,0.5536,0.26866,toeholds
pre_98_90632|0.536952831,0.7437,0.35528,toeholds
pre_99_90633|0.759487542,0.6229999999999999,0.36793,toeholds
pre_100_90634|0.21913783,0.5156,0.24545,toeholds
pre_101_90635|0.0,0.47090000000000004,0.34102,toeholds
pre_102_90636|0.052795159,1.123,0.38988,toeholds
pre_103_90637|0.753773809,1.0602,0.35618,toeholds
pre_104_90638|0.180016276,1.0073,0.39505,toeholds
pre_105_90639|1.0,0.6714,0.41881000000000007,toeholds
pre_106_90640|0.650946542,1.0470000000000002,0.40843999999999997,toeholds
pre_107_90641|0.41772858700000004,0.8585,0.45302,toeholds
pre_108_90642|0.946975764,0.8692000000000001,0.45202999999999993,toeholds
pre_109_90643|0.5857224560000001,1.1285,0.44140999999999997,toeholds
pre_110_90644|0.8368922259999999,1.0350000000000001,0.39143,toeholds
pre_111_90645|0.9468738259999999,1.1576,0.40646,toeholds
pre_112_90646|0.7052233459999999,0.3731,0.32681000000000004,toeholds
pre_113_90647|0.633014129,0.9870000000000001,0.44679,toeholds
pre_114_90648|0.076346403,0.7697999999999999,0.3146,toeholds
pre_115_90649|0.8650585959999999,0.4868,0.35369,toeholds
pre_116_90650|0.077359775,0.6048,0.34979000000000005,toeholds
pre_117_90651|0.33917931,0.6484,0.38327999999999995,toeholds
pre_118_90652|0.9198956420000001,0.6821,0.44151999999999997,toeholds
pre_119_90653|0.424929226,0.9064000000000001,0.44101,toeholds
pre_120_90654|0.427585573,0.7133999999999999,0.39166999999999996,toeholds
pre_121_90655|0.134211098,0.9748999999999999,0.37923999999999997,toeholds
pre_122_90656|0.32024762100000004,1.0302000000000002,0.44406,toeholds
pre_123_90657|0.115878052,1.0953000000000002,0.45366,toeholds
pre_124_90658|0.666666667,0.7135,0.37959,toeholds
pre_125_90659|0.418955365,0.9742999999999999,0.46567000000000003,toeholds
pre_126_90660|0.631319514,0.8438000000000001,0.39575000000000005,toeholds
pre_127_90661|0.700380055,0.5925,0.33915000000000006,toeholds
pre_128_90662|0.211618876,0.8721000000000001,0.4049,toeholds
pre_129_90663|0.299342055,1.0554000000000001,0.42857,toeholds
pre_130_90664|0.11975339300000001,0.9742,0.40445,toeholds
pre_131_90665|0.938195505,1.115,0.39666,toeholds
pre_132_90666|0.783119617,0.7413000000000001,0.38431,toeholds
pre_133_90667|0.959351306,0.5700999999999999,0.40646,toeholds
pre_134_90668|0.213106775,0.7817999999999999,0.35470999999999997,toeholds
pre_135_90669|0.14848072,0.6095,0.36229999999999996,toeholds
pre_136_90670|0.797656757,0.6454,0.34556,toeholds
pre_137_90671|0.039523421,0.6574,0.37273,toeholds
pre_138_90672|0.161267994,0.7803,0.39259999999999995,toeholds
pre_139_90673|0.379718871,0.6484,0.40637999999999996,toeholds
pre_140_90674|0.8388122090000001,0.7567999999999999,0.4113,toeholds
pre_141_90675|0.370615915,0.9302000000000001,0.32053,toeholds
pre_142_90676|0.666666667,0.48260000000000003,0.32923,toeholds
pre_143_90677|0.31799168699999997,0.8756999999999999,0.38765,toeholds
pre_144_90678|0.226786144,1.1891,0.45175,toeholds
pre_145_90679|0.496507074,0.5547,0.33291,toeholds
pre_146_90680|0.7134756720000001,1.0705,0.47137999999999997,toeholds
pre_147_90681|0.359746625,0.5898000000000001,0.41935999999999996,toeholds
pre_148_90682|1.0,0.722,0.36750000000000005,toeholds
pre_149_90683|1.0,0.712,0.37698,toeholds
pre_150_90684|0.333333333,0.8209,0.33316,toeholds
pre_151_90685|0.632171475,0.3408,0.28044,toeholds
pre_152_90686|0.671941971,0.9239,0.41689999999999994,toeholds
pre_153_90687|1.0,0.7817999999999999,0.35470999999999997,toeholds
pre_154_90688|0.333333333,0.6716,0.32947,toeholds
pre_155_90689|1.0,0.998,0.40387,toeholds
pre_156_90690|0.011955331000000001,1.2204000000000002,0.4345,toeholds
pre_157_90691|0.9551498709999999,1.1778,0.40709999999999996,toeholds
pre_158_90692|0.232689605,0.9952,0.37285,toeholds
pre_159_90693|0.209710431,1.1994,0.4288,toeholds
pre_160_90694|0.543433622,0.7705,0.33111999999999997,toeholds
pre_161_90695|1.0,1.2714,0.41839,toeholds
pre_162_90696|0.807242751,0.7634,0.38107,toeholds
pre_163_90697|0.078592046,1.2514,0.45303000000000004,toeholds
pre_164_90698|0.333333333,1.2169,0.43248,toeholds
pre_165_90699|0.59094625,0.6996,0.39026,toeholds
pre_166_90700|0.160704116,0.9255000000000001,0.42201,toeholds
pre_167_90701|0.215440653,0.8069,0.38249,toeholds
pre_168_90702|0.929667569,0.8087,0.39353,toeholds
pre_169_90703|0.067678097,0.8559000000000001,0.37068,toeholds
pre_170_90704|0.38967661200000003,0.7675000000000001,0.40510999999999997,toeholds
pre_171_90705|0.056825707999999996,0.8392000000000001,0.42792,toeholds
pre_172_90706|0.966683405,0.7762,0.37163999999999997,toeholds
pre_173_90707|0.0,0.6671999999999999,0.32297,toeholds
pre_174_90708|0.035010999,0.696,0.38626000000000005,toeholds
pre_175_90709|0.43525545299999996,0.7311000000000001,0.36088000000000003,toeholds
pre_176_90710|0.615019121,0.41889999999999994,0.34815999999999997,toeholds
pre_177_90711|0.250774703,1.0724,0.44615999999999995,toeholds
pre_178_90712|0.212504,0.8319,0.42225999999999997,toeholds
pre_179_90713|0.5609570629999999,0.9192,0.36733,toeholds
pre_180_90714|0.38004221299999996,1.0876,0.4246,toeholds
pre_181_90715|0.406187399,1.1393,0.46240000000000003,toeholds
pre_182_90716|0.006569411999999999,0.6520000000000001,0.47003,toeholds
pre_183_90717|0.622201482,0.8022,0.45791000000000004,toeholds
pre_184_90718|1.0,0.8965000000000001,0.39037,toeholds
pre_185_90719|0.39156178399999997,0.4747,0.30643,toeholds
pre_186_90720|0.080075576,0.8271999999999999,0.33182,toeholds
pre_187_90721|0.061249437999999996,1.2726000000000002,0.42663,toeholds
pre_188_90722|0.69620989,1.1512,0.37252,toeholds
pre_189_90723|0.415172706,0.9013000000000001,0.43537,toeholds
pre_190_90724|0.123474002,0.8951,0.34457,toeholds
pre_191_90725|1.0,0.7891999999999999,0.38614000000000004,toeholds
pre_192_90726|0.044297,0.5303,0.3415,toeholds
pre_193_90727|0.0,1.2599,0.45779000000000003,toeholds
pre_194_90728|0.333333333,1.2663,0.43002,toeholds
pre_195_90729|0.224238225,1.0184,0.44113,toeholds
pre_196_90730|0.350414002,1.0994,0.40095,toeholds
pre_197_90731|0.232689605,0.7743,0.40793999999999997,toeholds
pre_198_90732|0.29875047600000004,1.0453999999999999,0.40611,toeholds
pre_199_90733|1.0,0.6822,0.33971,toeholds
pre_200_90734|0.854212443,1.0862,0.36052,toeholds
pre_201_90735|0.687420826,0.8608,0.31708000000000003,toeholds
pre_202_90736|0.055797152,0.8126,0.37691,toeholds
pre_203_90737|0.384520821,0.8417,0.38086,toeholds
pre_204_90738|0.047990504,1.0285,0.44794,toeholds
pre_205_90739|0.072333509,0.9453,0.41888000000000003,toeholds
pre_206_90740|0.307384146,0.906,0.46624000000000004,toeholds
pre_207_90741|0.940805514,0.5837,0.37468,toeholds
pre_208_90742|0.183834327,1.0216,0.44947000000000004,toeholds
pre_209_90743|1.0,1.0110999999999999,0.4392,toeholds
pre_210_90744|0.406187399,0.9121,0.40818,toeholds
pre_211_90745|0.3857192370000001,0.9599,0.40954999999999997,toeholds
pre_212_90746|0.952569676,1.0138,0.44833999999999996,toeholds
pre_213_90747|0.207748824,0.8376999999999999,0.40560999999999997,toeholds
pre_214_90748|0.006300861,1.0492,0.47572000000000003,toeholds
pre_215_90749|1.0,0.712,0.35388,toeholds
pre_216_90750|0.062595043,1.0239,0.43539999999999995,toeholds
pre_217_90751|0.131651255,1.1136000000000001,0.43753000000000003,toeholds
pre_218_90752|0.08792185400000001,1.0257,0.43957,toeholds
pre_219_90753|1.0,0.894,0.36472000000000004,toeholds
pre_220_90754|1.0,0.9042000000000001,0.41973,toeholds
pre_221_90755|0.299973408,0.7349,0.44388,toeholds
pre_222_90756|0.867077243,0.8807,0.39669,toeholds
pre_223_90757|0.8562072759999999,0.8265,0.4228,toeholds
pre_224_90758|0.573661726,0.8745,0.43015,toeholds
pre_225_90759|0.47335287600000003,0.9742999999999999,0.44011,toeholds
pre_226_90760|0.265338436,0.8512,0.42466,toeholds
pre_227_90761|0.666666667,0.6896,0.29292,toeholds
pre_228_90762|0.19813302300000002,0.6968,0.40659999999999996,toeholds
pre_229_90763|0.738789303,0.6522,0.39427,toeholds
pre_230_90764|0.06932400400000001,0.937,0.45761999999999997,toeholds
pre_231_90765|0.163291523,0.7048000000000001,0.39165999999999995,toeholds
pre_232_90766|0.6665281820000001,0.7252,0.40951,toeholds
pre_233_90767|0.008460796999999999,0.8862000000000001,0.46221,toeholds
pre_234_90768|0.479551486,0.6713,0.38601,toeholds
pre_235_90769|0.127617159,0.9355,0.33181,toeholds
pre_236_90770|0.46332745399999997,0.6315,0.38022,toeholds
pre_237_90771|0.6842326440000001,0.6008,0.34708,toeholds
pre_238_90772|0.451608169,0.5458,0.4109400000000001,toeholds
pre_239_90773|0.103357375,0.9836,0.38275,toeholds
pre_240_90774|0.233685494,0.6557000000000001,0.46238999999999997,toeholds
pre_241_90775|0.80652532,0.8799,0.39042999999999994,toeholds
pre_242_90776|0.655985226,0.9685999999999999,0.43443,toeholds
pre_243_90777|1.0,1.0394,0.45369,toeholds
pre_244_90778|0.9044096359999999,0.8492999999999999,0.46903,toeholds
pre_245_90779|0.33823256100000004,0.42669999999999997,0.29935999999999996,toeholds
pre_246_90780|0.9272390909999999,0.7999,0.45565999999999995,toeholds
pre_247_90781|0.356487258,0.7853000000000001,0.46741,toeholds
pre_248_90782|1.0,1.0738,0.43237,toeholds
pre_249_90783|0.666666667,0.6486999999999999,0.40426,toeholds
pre_250_90784|0.590149283,1.1079,0.45375,toeholds
pre_251_90785|0.225169925,0.8261000000000001,0.33208,toeholds
pre_252_90786|0.067226021,0.8187,0.38346,toeholds
pre_253_90787|0.333333333,1.0939,0.4728,toeholds
pre_254_90788|1.0,0.7037,0.38029999999999997,toeholds
pre_255_90789|0.722383165,1.0057,0.43966,toeholds
pre_256_90790|0.37469726299999995,1.1814,0.44097000000000003,toeholds
pre_257_90791|0.4180307070000001,1.0328,0.45404999999999995,toeholds
pre_258_90792|0.260114563,1.046,0.46840000000000004,toeholds
pre_259_90793|0.592819283,0.567,0.38695999999999997,toeholds
pre_260_90794|0.952169435,0.8194000000000001,0.40727,toeholds
pre_261_90795|0.357370171,0.9920000000000001,0.42505,toeholds
pre_262_90796|0.17412673899999995,0.8993,0.44849,toeholds
pre_263_90797|0.577379247,0.9986,0.48039,toeholds
pre_264_90798|0.587751626,0.5204,0.37609000000000004,toeholds
pre_265_90799|1.0,0.6736,0.38888,toeholds
pre_266_90800|0.333333333,0.7771,0.45280000000000004,toeholds
pre_267_90801|0.49416138,0.9801,0.46391999999999994,toeholds
pre_268_90802|0.333333333,1.2207000000000001,0.44402,toeholds
pre_269_90803|1.0,0.7851,0.38359,toeholds
pre_270_90804|1.0,0.6964,0.39242,toeholds
pre_271_90805|0.296826212,1.1019,0.4167,toeholds
pre_272_90806|0.86895824,0.8742000000000001,0.36568,toeholds
pre_273_90807|0.427867361,0.6615,0.38239999999999996,toeholds
pre_274_90808|0.066384368,0.7229,0.34429,toeholds
pre_275_90809|0.8337586240000001,0.8737,0.46843,toeholds
pre_276_90810|0.190067248,0.9228000000000001,0.3135,toeholds
pre_277_90811|0.379266793,1.0766,0.43034,toeholds
pre_278_90812|0.594958259,0.7799,0.38473,toeholds
pre_279_90813|0.691714362,0.7607999999999999,0.35456,toeholds
pre_280_90814|0.426709571,0.8956000000000001,0.45599,toeholds
pre_281_90815|0.20883440399999997,1.2375,0.44991,toeholds
pre_282_90816|0.776936849,0.7471,0.44991,toeholds
pre_283_90817|0.36393794700000004,1.1917,0.41924,toeholds
pre_284_90818|0.0,0.6708000000000001,0.35182,toeholds
pre_285_90819|0.869177703,0.8839,0.38234999999999997,toeholds
pre_286_90820|0.16394282300000002,0.9293999999999999,0.38695,toeholds
pre_287_90821|0.5926140089999999,0.46309999999999996,0.33331,toeholds
pre_288_90822|0.662463955,0.7648,0.39464999999999995,toeholds
pre_289_90823|0.117374644,0.98,0.39019000000000004,toeholds
pre_290_90824|0.021171002,0.6938000000000001,0.3947,toeholds
pre_291_90825|0.4399059970000001,0.9997,0.4432,toeholds
pre_292_90826|0.793655579,0.6685,0.35816000000000003,toeholds
pre_293_90827|0.642221815,0.8061,0.37488,toeholds
pre_294_90828|0.771753162,0.7995,0.44303,toeholds
pre_295_90829|0.129107594,1.2714,0.41839,toeholds
pre_296_90830|0.768919557,0.6807,0.4096,toeholds
pre_297_90831|0.908945984,0.5416,0.25165000000000004,toeholds
pre_298_90832|0.94380118,0.9704,0.42128,toeholds
pre_299_90833|0.666666667,0.8141,0.45848,toeholds
pre_300_90834|0.692030475,0.622,0.23913,toeholds
pre_301_90835|0.48049654399999997,0.6674,0.34334,toeholds
pre_302_90836|1.0,0.8889,0.43835,toeholds
pre_303_90837|1.0,0.8922,0.39091,toeholds
pre_304_90838|0.58325658,0.6035,0.3603,toeholds
pre_305_90839|0.07170937299999999,0.9522000000000002,0.32986,toeholds
pre_306_90840|0.8976714309999999,0.6822,0.33971,toeholds
pre_307_90841|1.0,0.5172,0.32362,toeholds
pre_308_90842|0.660339517,0.7123999999999999,0.27035,toeholds
pre_309_90843|0.605784734,0.7345,0.41253,toeholds
pre_310_90844|0.034215004,0.9101,0.41137999999999997,toeholds
pre_311_90845|0.38967661200000003,1.0781,0.41357,toeholds
pre_312_90846|0.392023833,1.205,0.41346,toeholds
pre_313_90847|1.0,0.6714,0.40090000000000003,toeholds
pre_314_90848|0.462664477,0.9325000000000001,0.44514,toeholds
pre_315_90849|0.201609646,0.7724,0.38391,toeholds
pre_316_90850|1.0,0.7526999999999999,0.37304,toeholds
pre_317_90851|0.762635031,0.9257000000000001,0.48087,toeholds
pre_318_90852|0.489684643,1.1955,0.39016999999999996,toeholds
pre_319_90853|0.899691977,0.8862000000000001,0.3971,toeholds
pre_320_90854|0.596508485,0.6187999999999999,0.34467000000000003,toeholds
pre_321_90855|0.525864331,0.8962,0.40884,toeholds
pre_322_90856|0.817182953,0.5663,0.31088,toeholds
pre_323_90857|0.042752592,0.7265999999999999,0.4494,toeholds
pre_324_90858|0.6516913670000001,0.771,0.32334999999999997,toeholds
pre_325_90859|0.51626518,1.1440000000000001,0.44896,toeholds
pre_326_90860|1.0,0.6631,0.36143000000000003,toeholds
pre_327_90861|0.137003249,0.7877000000000001,0.37698,toeholds
pre_328_90862|0.563235959,0.9732999999999999,0.41444000000000003,toeholds
pre_329_90863|0.839593122,0.8414,0.34956,toeholds
pre_330_90864|0.387233549,1.1659000000000002,0.4491,toeholds
pre_331_90865|0.394604036,0.9798,0.38622999999999996,toeholds
pre_332_90866|0.6379815520000001,0.6483,0.35139999999999993,toeholds
pre_333_90867|0.559182703,1.0665,0.42743,toeholds
pre_334_90868|0.009362801,1.0322,0.42505999999999994,toeholds
pre_335_90869|0.45650514299999995,0.6981999999999998,0.37982000000000005,toeholds
pre_336_90870|0.547350856,0.5587999999999999,0.40141000000000004,toeholds
pre_337_90871|0.23779473,1.0274,0.41063000000000005,toeholds
pre_338_90872|0.222045758,0.6151,0.3976,toeholds
pre_339_90873|0.656724255,0.8361000000000001,0.42472000000000004,toeholds
pre_340_90874|0.622238535,0.7868,0.43713,toeholds
pre_341_90875|0.105789199,1.1743000000000001,0.37126,toeholds
pre_342_90876|0.550907147,1.0808,0.42293,toeholds
pre_343_90877|0.032932212999999995,0.6269,0.43307,toeholds
pre_344_90878|0.065967583,1.0721,0.42334,toeholds
pre_345_90879|0.7554875040000001,0.5518000000000001,0.35802999999999996,toeholds
pre_346_90880|0.135813101,0.5854,0.38727999999999996,toeholds
pre_347_90881|0.212859733,1.1955,0.40402999999999994,toeholds
pre_348_90882|0.378646648,1.1861,0.41250000000000003,toeholds
pre_349_90883|0.34708437700000005,1.1863000000000001,0.38827,toeholds
pre_350_90884|0.7081020370000001,0.9583000000000002,0.4074,toeholds
pre_351_90885|0.20660931600000002,0.8401000000000001,0.40715999999999997,toeholds
pre_352_90886|0.8878620429999999,1.2376,0.4074,toeholds
pre_353_90887|0.40992828600000003,1.1863000000000001,0.38827,toeholds
pre_354_90888|0.094084949,1.103,0.45438,toeholds
pre_355_90889|0.46868910399999997,0.8516999999999999,0.42451,toeholds
pre_356_90890|0.27460798399999997,0.9699000000000001,0.4375,toeholds
pre_357_90891|0.114160445,0.3686,0.34692,toeholds
pre_358_90892|0.07255386900000001,0.8402000000000001,0.42597,toeholds
pre_359_90893|1.0,0.5155,0.32106999999999997,toeholds
pre_360_90894|0.03454063,1.2454,0.41095,toeholds
pre_361_90895|0.149676039,1.0926,0.39446,toeholds
pre_362_90896|1.0,0.6931,0.43064,toeholds
pre_363_90897|0.026190297,1.2591,0.42567,toeholds
pre_364_90898|0.302889662,0.8926000000000001,0.40924000000000005,toeholds
pre_365_90899|0.213085395,0.7405,0.39673,toeholds
pre_366_90900|0.393504481,1.1283,0.43119999999999997,toeholds
pre_367_90901|0.369247294,0.8321000000000001,0.34832,toeholds
pre_368_90902|0.57621101,0.7341,0.38219000000000003,toeholds
pre_369_90903|0.161079854,1.0716,0.45143000000000005,toeholds
pre_370_90904|1.0,0.5851,0.40385000000000004,toeholds
pre_371_90905|0.014066842,1.2975,0.41150000000000003,toeholds
pre_372_90906|0.35474296299999997,0.6484,0.3999,toeholds
pre_373_90907|0.119927834,0.4774,0.39369999999999994,toeholds
pre_374_90908|0.031125426,1.1497,0.42427,toeholds
pre_375_90909|0.341535958,0.9937,0.42313,toeholds
pre_376_90910|0.794799213,0.7736000000000001,0.40573000000000004,toeholds
pre_377_90911|0.027862219,1.0338,0.48366,toeholds
pre_378_90912|0.23714300100000002,1.0972,0.41325,toeholds
pre_379_90913|0.486084474,1.2763,0.43412,toeholds
pre_380_90914|0.360222754,0.691,0.3381,toeholds
pre_381_90915|0.07760829799999999,0.7772,0.40837,toeholds
pre_382_90916|0.186594344,1.0782,0.40645,toeholds
pre_383_90917|0.62765384,1.0192,0.47120999999999996,toeholds
pre_384_90918|0.7649421120000001,0.7203,0.39291000000000004,toeholds
pre_385_90919|0.485416339,1.1955,0.39665,toeholds
pre_386_90920|1.0,0.7505000000000001,0.39313000000000003,toeholds
pre_387_90921|0.058166732,1.0543,0.40710999999999997,toeholds
pre_388_90922|0.594012647,0.7069,0.38471,toeholds
pre_389_90923|0.499507485,0.8619,0.43998,toeholds
pre_390_90924|0.525663564,0.45339999999999997,0.34272,toeholds
pre_391_90925|0.35717901399999996,0.8339,0.40813999999999995,toeholds
pre_392_90926|0.027764151,0.632,0.29044,toeholds
pre_393_90927|0.673135723,1.0828,0.42871,toeholds
pre_394_90928|1.0,1.0273,0.4565699999999999,toeholds
pre_395_90929|0.6466619929999999,0.8575,0.41054,toeholds
pre_396_90930|0.666666667,0.756,0.37298,toeholds
pre_397_90931|1.0,1.1173,0.44305999999999995,toeholds
pre_398_90932|0.22553133600000005,0.5365,0.32906,toeholds
pre_399_90933|0.908891118,0.7318000000000001,0.31951999999999997,toeholds
pre_400_90934|0.563562679,0.512,0.33230000000000004,toeholds
pre_401_90935|0.100179701,0.6302,0.35044000000000003,toeholds
pre_402_90936|0.829424275,1.1433,0.42548,toeholds
pre_403_90937|0.616114492,0.9511000000000001,0.4632,toeholds
pre_404_90938|0.8935626740000001,0.6732,0.40024,toeholds
pre_405_90939|0.187097154,0.6314,0.4372,toeholds
pre_406_90940|1.0,0.772,0.39688,toeholds
pre_407_90941|0.03611334,0.8617,0.39478,toeholds
pre_408_90942|0.052741687,0.6334,0.32855,toeholds
pre_409_90943|0.47637242700000004,0.6902,0.38295,toeholds
pre_410_90944|0.098941825,0.7206,0.39006,toeholds
pre_411_90945|0.46384989299999996,1.064,0.39519,toeholds
pre_412_90946|0.277948967,0.9642,0.47095,toeholds
pre_413_90947|0.116277558,0.8451000000000001,0.35822,toeholds
pre_414_90948|0.452907149,1.2094,0.43935,toeholds
pre_415_90949|0.939275793,0.8965000000000001,0.38955,toeholds
pre_416_90950|0.175514686,1.1947,0.44225000000000003,toeholds
pre_417_90951|1.0,0.6654,0.32628999999999997,toeholds
pre_418_90952|0.074348245,1.076,0.41219999999999996,toeholds
pre_419_90953|0.332396133,0.8988,0.46974,toeholds
pre_420_90954|0.47573730200000003,0.8929,0.395,toeholds
pre_421_90955|1.0,0.8728,0.35719,toeholds
pre_422_90956|0.5690027120000001,0.7074,0.34142,toeholds
pre_423_90957|0.666277145,0.766,0.34365,toeholds
pre_424_90958|0.309689344,0.7827000000000001,0.41133000000000003,toeholds
pre_425_90959|0.081510478,0.6706,0.36145,toeholds
pre_426_90960|0.23147511699999998,0.8820000000000001,0.44427000000000005,toeholds
pre_427_90961|0.58600631,0.9624,0.38748000000000005,toeholds
pre_428_90962|0.46184071299999996,1.2057,0.41083,toeholds
pre_429_90963|0.323016037,0.7663,0.42495,toeholds
pre_430_90964|0.653057981,1.2032,0.4748800000000001,toeholds
pre_431_90965|0.301251457,1.2258,0.42419999999999997,toeholds
pre_432_90966|0.5458090489999999,0.8423,0.40085000000000004,toeholds
pre_433_90967|0.837967534,0.8829000000000001,0.39225,toeholds
